0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.4658453116893651,39
1,0,0,1,0,0,1,1,0.0,-0.46406792983026507,36
1,0,1,1,0,0,0,1,0.0,-0.46323401919715995,38
0,0,1,1,0,0,1,1,0.0,-0.46173736698881557,54
1,1,0,0,0,0,1,1,0.0,-0.4615986246096275,26
1,1,1,0,0,0,0,1,0.0,-0.46076471397652236,17
1,0,1,1,0,0,1,0,0.0,-0.4597029692219709,24
0,1,1,0,0,0,1,1,0.0,-0.4592680617681781,14
1,0,0,0,0,1,1,1,0.0,-0.4591529079777741,44
1,1,0,1,0,0,0,1,0.0,-0.45898733211742243,14
1,0,1,0,0,1,0,1,0.0,-0.4583189973446688,18
1,0,0,0,1,0,1,1,0.0,-0.4581434151420173,11
0,1,0,1,0,0,1,1,0.0,-0.45749067990907805,28
1,0,1,0,1,0,0,1,0.0,-0.457309504508912,10
1,1,1,0,0,0,1,0,0.0,-0.4572336640013334,14
0,0,1,0,0,1,1,1,0.0,-0.45682234513632447,25
0,1,1,1,0,0,0,1,0.0,-0.4566567692759728,15
1,0,0,1,0,1,0,1,0.0,-0.45654161548556876,20
0,0,1,0,1,0,1,1,0.0,-0.4558128523005678,12
1,0,0,1,1,0,0,1,0.0,-0.4555321226498121,10
1,1,0,1,0,0,1,0,0.0,-0.4554562821422334,21
0,0,0,1,0,1,1,1,0.0,-0.45504496327722443,20
1,0,1,0,0,1,1,0,0.0,-0.45478794736947986,11
1,1,1,1,0,0,0,0,0.0,-0.45462237150912815,12
0,0,1,1,0,1,0,1,0.0,-0.45421105264411915,28
1,1,0,0,0,1,0,1,0.0,-0.4540723102649313,9
0,0,0,1,1,0,1,1,0.0,-0.45403547044146775,29
1,0,1,0,1,0,1,0,0.0,-0.45377845453372306,8
0,0,1,1,1,0,0,1,0.0,-0.45320155980836246,12
0,1,1,1,0,0,1,0,0.0,-0.45312571930078377,21
1,1,0,0,1,0,0,1,0.0,-0.4530628174291745,6
1,0,0,1,0,1,1,0,0.0,-0.4530105655103797,15
0,1,0,0,0,1,1,1,0.0,-0.45257565805658695,11
1,0,1,1,0,1,0,0,0.0,-0.4521766548772746,15
1,0,0,1,1,0,1,0,0.0,-0.4520010726746231,11
0,1,1,0,0,1,0,1,0.0,-0.45174174742348167,8
0,1,0,0,1,0,1,1,0.0,-0.45156616522083026,5
1,0,1,1,1,0,0,0,0.0,-0.4511671620415178,8
0,1,1,0,1,0,0,1,0.0,-0.450732254587725,5
0,0,1,1,0,1,1,0,0.0,-0.4506800026689303,24
1,0,0,0,1,1,0,1,0.0,-0.450617100797321,10
1,1,0,0,0,1,1,0,0.0,-0.45054126028974223,5
0,1,0,1,0,1,0,1,0.0,-0.44996436556438163,4
1,1,1,0,0,1,0,0,0.0,-0.4497073496566371,5
0,0,1,1,1,0,1,0,0.0,-0.4496705098331736,12
1,1,0,0,1,0,1,0,0.0,-0.44953176745398554,3
0,0,0,0,1,1,1,1,0.0,-0.4491204485889766,7
0,1,0,1,1,0,0,1,0.0,-0.44895487272862494,5
1,1,1,0,1,0,0,0,0.0,-0.4486978568208803,4
0,0,1,0,1,1,0,1,0.0,-0.4482865379558715,8
