0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0.0,-2.470813669038809,1
1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.0625,-2.469309974460746,1
1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.0625,-2.469309974460746,1
1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0.0,-2.469139426357482,1
1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0.0625,-2.468807881419025,1
1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0.0,-2.468344363818171,1
1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0.0,-2.46797397078592,1
1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0.0,-2.4674194343538134,1
1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0.0,-2.4673620444983815,1
1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0.0,-2.4671300538105143,1
1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.0,-2.4670680168647823,1
1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0,-2.4668974687615175,2
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0.0,-2.466528133865276,1
0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0.0625,-2.466478376713586,1
1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0.0,-2.4663425882236676,1
1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0.0,-2.466115240598993,1
1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0.0,-2.465733071325966,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0.0,-2.4656069330242034,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-2.4653825392888002,1
1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-2.46538064353554,1
1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.0,-2.4652906350056822,1
0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0.0,-2.465031481656932,1
1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,-2.4648956931670143,2
1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-2.464889154350561,1
1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-2.46488809621455,1
1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.0,-2.4647730223910984,1
1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0,-2.464697250479782,1
1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0.0,-2.4646694036783505,1
1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0.0,-2.4646683455423397,1
1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0.0625,-2.4646223002329295,1
1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0.0625,-2.4644699028551074,1
1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-2.464457782508588,1
1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0.0,-2.4643378587398934,1
1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-2.463879902846747,1
1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0.0,-2.4638447980850398,1
1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0.0,-2.463736877261529,1
1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0.0,-2.463728341842192,1
1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0.0,-2.463697370768571,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-2.4636174504603647,1
1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0.0,-2.4635042922125323,1
1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0.0,-2.4635039481067884,1
1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0.0,-2.4633271854704555,1
1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0.0,-2.4632994750406327,1
1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0.0,-2.4630625699225153,1
1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0.0,-2.46289096368324,1
1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-2.462887378756057,1
1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0.0,-2.4628833667307757,1
1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.0,-2.4627835398272597,1
1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0.0,-2.4627158495169392,1
1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-2.4625979941856513,1
1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0.0625,-2.46244702264589,1
0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0.0,-2.4621240930937223,1
1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0.0,-2.462057053050135,1
1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0.0,-2.4620494560976707,1
1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0.0,-2.4619972041788762,1
1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.0,-2.461927329821189,1
1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0.0,-2.461784545567913,1
1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0625,-2.461613112012785,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.0,-2.4615025166180295,1
1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0.0,-2.4613765510004124,1
0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-2.461286887618916,1
1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0.0,-2.46121313607473,1
1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0.0,-2.4609969575974833,1
1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0.0,-2.4609877113431193,1
0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-2.46095640081647,1
1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0.0,-2.460925674397389,1
1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0.0,-2.4608309668017023,1
1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0.0,-2.4608180494734744,1
1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0.0,-2.460692969307722,1
1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0.0,-2.4606919111717116,1
1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0.0,-2.4606517546415216,1
1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0.0,-2.4606500642232874,2
1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-2.460642467270824,1
1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0.0,-2.460603619177028,1
0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,-2.460561458977801,1
1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0.0,-2.460541582231297,1
1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0.0,-2.4605277786694506,1
1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0.0,-2.460440603988194,1
1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0.0,-2.4603756131531913,1
1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0.0,-2.4603161781944967,1
1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0.0,-2.4603151200584867,1
1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0.0,-2.4603029997119665,1
1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-2.4601445052027415,1
0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0.0,-2.460121432047354,1
1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0.0,-2.4600405473255855,1
1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0.0,-2.4599728981315985,1
0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0.0,-2.4599519420801004,1
1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0.0,-2.459920111467338,1
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0.0,-2.4598357301536855,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0,-2.4598161535901824,1
1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0.0,-2.459813199700911,1
