0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-59.38836416563862,1
0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0.0,-59.213156744770615,1
1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-59.16272616074002,1
0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-59.09658500994347,1
0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0,-59.07091449127504,1
1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0.0,-59.04296431463559,1
0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0.0,-59.0290147414841,1
1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0.0,-59.005124397281946,1
1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0.0,-58.99448370108218,1
1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0.0,-58.98270802764142,1
0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-58.97589411042483,1
1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0.0,-58.97056322635985,1
1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0.0,-58.938556284586326,1
1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0.0,-58.93147181732559,1
0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0.0,-58.91848987018257,1
1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0.0,-58.91710459681198,1
0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-58.896967931351085,1
1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0.0,-58.89309149851029,1
0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0.0,-58.889179751280096,1
1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0.0,-58.87725443667233,1
1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0.0,-58.86484888470568,2
1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0.0,-58.85575184744916,1
0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0.0,-58.84667524652475,1
1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0.0,-58.83142200104668,1
0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,-58.82055692331925,1
0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0.0,-58.81601681329424,2
1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0,-58.79854621793011,1
1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0.0,-58.79383419930246,1
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0.0,-58.79168352119061,1
1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0.0,-58.789802343075564,1
1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0.0,-58.77949292675749,1
1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0,-58.764962483104,1
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0.0,-58.75294552076049,1
0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-58.74765317989258,1
1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0.0,-58.74737055672897,1
1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0.0,-58.74392030642145,1
1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0.0,-58.74262892688625,1
0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0.0,-58.72948267580034,1
1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0.0,-58.72521322525399,1
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0.0,-58.72357923051146,1
1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0.0,-58.710874575128585,1
1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0.0,-58.70714997179026,1
0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0.0,-58.70684063319577,1
1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0.0,-58.70624976688738,1
0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0.0,-58.695493156887835,1
1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0,-58.69317074341434,1
1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0.0,-58.68664580574436,1
1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0.0,-58.681711738775604,1
1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0.0,-58.680339930107785,1
1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0.0,-58.67253834082945,1
0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0.0,-58.65985678649966,1
0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0.0,-58.65488512707837,1
0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0.0,-58.64026741001156,1
0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-58.637059543877555,1
1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0.0,-58.63350055672769,1
1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0.0,-58.630959300661964,1
1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0.0,-58.629832641745,1
0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0.0,-58.62583151398716,1
0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0.0,-58.62083906590661,1
