0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0.0,-3.145124705152406,1
1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-3.144386171066178,1
1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0.0,-3.1443568204770695,1
1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-3.144276368391326,3
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0.0,-3.143759877664868,1
1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0.0,-3.1437225649106386,1
1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0.0,-3.1431391668940396,1
1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-3.1430257471328145,1
1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-3.1426174145721033,1
1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0.0,-3.1424370436872557,2
1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0.0,-3.142214398999318,1
1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0.0,-3.1420982840235214,1
1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-3.142036865105438,2
1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0.0,-3.141652325129165,1
1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0.0,-3.1416464411987146,1
1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0.0,-3.141553806489867,2
1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0.0,-3.141180300484261,1
1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-3.140933551437091,1
1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-3.140912554072692,1
0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-3.1408175408341603,1
1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0.0625,-3.1408121583316206,1
1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0.0,-3.1404605606991667,1
1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0.0,-3.1404224375729193,1
1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0.0,-3.140309711223508,2
1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0.0,-3.1400360869269335,1
1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0.0,-3.139590337012862,1
1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.0,-3.1395627299203395,1
1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0.0,-3.139534788454874,1
1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0.0,-3.1394939371567214,1
1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-3.1393714694913224,1
1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-3.1393562111321693,2
1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0.0,-3.1392770162633594,1
0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-3.13925288352075,1
0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-3.1392217251279586,1
1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0.0625,-3.138820424510327,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0.0625,-3.138612938575045,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-3.138612938575045,1
1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0.0,-3.1385874366876036,2
1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0.0,-3.1385864682017313,1
0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-3.1385808089263305,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-3.1383382964533286,1
1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0.0625,-3.1383274673244888,1
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0.0,-3.138318202898606,1
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0.0625,-3.138318202898606,1
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0.0625,-3.138318202898606,1
1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0.0625,-3.1383064203784805,1
1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0.0,-3.1382810623139865,1
1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0.0,-3.1382696518537085,2
1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0.0,-3.1382633422822015,1
0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.0,-3.1381006154556554,1
1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0.0,-3.138095745949877,2
1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-3.1379226139625,1
