0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0.0,-19.47301676415328,1
1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0.0,-19.472891088835613,1
1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0.0,-19.471715017325586,1
0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0.0,-19.47088640989087,1
0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0.0,-19.468605840202503,1
1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0.0,-19.46835625245541,1
1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0.0,-19.468303372418717,1
1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0.0,-19.46809448365652,1
1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0.0,-19.466375024323977,1
1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0.0,-19.466295061142528,1
1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0.0,-19.466250873267086,1
0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0.0,-19.464158764336258,1
1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0,-19.463293388654268,1
0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0.0,-19.463248686851607,1
0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0.0,-19.462380925818234,1
0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0.0,-19.462289900967114,1
0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0.0,-19.461928580097922,1
1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0.0,-19.461594984308718,1
0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0.0,-19.46029322824034,1
1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0.0,-19.45982183021546,1
1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0,-19.459089064853664,1
1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,-19.458963131501744,1
0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0.0,-19.458718530102228,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.0,-19.458407350222878,1
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0.0,-19.45839538728667,1
0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0.0,-19.457724990034624,1
1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0.0,-19.457700270491955,1
0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0.0,-19.457698554493998,1
0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,-19.45732874788303,1
1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0.0,-19.457261377908146,1
0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,-19.45723781555228,1
1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0.0,-19.456514645997547,1
1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0.0,-19.45604127687575,1
0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0,-19.45566425422208,1
