0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-59.46259791961322,1
1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0.0,-59.413904080121796,1
1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0.0,-59.41118739712441,1
1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0.0,-59.24312094109584,1
1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0.0,-59.217957580760725,1
1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-59.195578686020305,1
0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-59.14637529970076,1
0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0.0,-59.129990571953996,1
0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-59.09658500994347,1
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0.0,-59.090006004680504,1
1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0.0,-59.06324767715131,1
1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0.0,-59.05387759450991,1
1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0.0,-59.04816248028698,1
0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0.0,-59.00263456805581,1
1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0.0,-58.93266150292811,1
0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0.0,-58.92181629469388,1
0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0.0,-58.91153837001727,1
1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0.0,-58.90590161807086,1
1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-58.89435584855698,1
1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0.0,-58.88473711476259,1
0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,-58.88376814905364,1
1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0.0,-58.87334838921874,1
1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0.0,-58.86955627105568,1
0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0.0,-58.86928564721238,1
