0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.4313911616523152,17
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0625,-1.4313911616523152,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.3983939352124488,15
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0625,-1.3983939352124488,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.360924171410259,22
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.3568540275053536,2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.3565318425812,14
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0625,-1.352955886639322,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,-1.352955886639322,9
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,-1.3452134630303356,13
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0625,-1.338419461359468,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.338419461359468,7
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.3316466128076172,9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.3316227395875284,9
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,-1.3160132096304042,11
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-1.3136158587743125,19
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-1.3107758217023993,22
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.3068134931873887,9
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.3058059610383281,5
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,-1.3002548247243348,23
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,-1.2981071562675537,13
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,-1.2967304998594802,23
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,-1.296114251010661,8
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.295726085938179,11
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-1.292194642908273,7
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0,-1.2919132729506746,10
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.0,-1.2916138874903922,6
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-1.2909479900532088,11
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.2894495033410798,2
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0625,-1.285767954511579,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,-1.285767954511579,7
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-1.2825373712650487,13
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0625,-1.2801415260614788,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.2801415260614788,10
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,-1.2755151261861286,6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,-1.270600281651808,2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.2705715259229682,5
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-1.2693052937175495,13
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-1.2669675099246636,19
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-1.2639090067962366,12
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0625,-1.2639090067962366,1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,-1.2618005880000416,5
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.2568486097810216,3
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.2567520697639394,8
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.256495639014387,7
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.0,-1.2509796794595038,10
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.2508546949118737,3
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-1.2470647104600479,13
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,-1.2470512743085451,12
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0625,-1.2470512743085451,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,-1.2467919605466233,8
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,-1.2450231463898995,4
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.2425660294760439,6
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.2420500093445914,6
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,-1.2388305168292506,12
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.2365343784668479,2
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-1.2352076570833763,9
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,-1.2342675068258946,5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.233293333532353,6
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0625,-1.233204543015265,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-1.233204543015265,3
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.232895642037192,8
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0625,-1.2297372314663395,1
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-1.2297372314663395,8
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.2287262498374516,6
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-1.2277765814035708,6
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,-1.2267850399944424,2
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,-1.2263567111686253,3
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,-1.225207397992856,7
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.0,-1.2244475253088845,11
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.2241917181695743,3
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,-1.2237483675053265,3
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,-1.2224675351081529,9
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,-1.2212763152381778,9
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-1.2191412644299389,10
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0625,-1.2191412644299389,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.2189005200336795,2
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.2163465041818582,8
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,-1.2157923644000925,11
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,-1.2153116678918405,4
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,-1.2141634243664408,8
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-1.2123076214974946,7
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.2054049164564797,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,-1.2053154750334416,3
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-1.2010196724792064,7
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0625,-1.2007484461313565,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,-1.2007484461313565,3
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,-1.2007326626782522,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.1976338457897726,3
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.1965999304087847,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,-1.1960579327726584,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,-1.1960059211190668,4
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.194619591843379,10
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0,-1.1900803231751569,1
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.1893464609682007,10
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,-1.1890626219171019,1
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-1.1890008834469605,3
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,-1.1881466915335697,8
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,-1.1863890960510055,5
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,-1.1842628463463902,14
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.1839184786654176,9
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,-1.1838188669812753,3
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.1836286915795844,1
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.0,-1.181151721324583,9
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,-1.1794544664397515,3
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,-1.1794113472931382,2
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,-1.1775134924977757,5
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0625,-1.1775134848306013,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,-1.1775134848306013,4
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,-1.17736243548157,3
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-1.1750679040678211,2
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,-1.1745291764126258,11
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,-1.1745081464723168,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,-1.1736247882691504,6
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0625,-1.1730158499195922,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,-1.1730158499195922,10
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,-1.172742065546211,6
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,-1.1721505785741433,6
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-1.1711912547654357,3
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.1704678107481736,2
