0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0.0,-1.504026314142724,1
1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0.0,-1.5033250701848044,1
0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0.0,-1.5029091872182476,1
1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0.0,-1.5022129037966456,1
1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0.0,-1.50206296067417,1
1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-1.500885431691856,1
1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0.0,-1.5008095729858368,1
1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.0,-1.5001180794971476,2
1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0.0,-1.4996583666392196,1
0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0.0,-1.4995748022271553,1
1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0.0,-1.498999765833303,1
1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0.0,-1.4989232164804471,1
1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.0,-1.4989200180299456,1
0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-1.4985412397147433,1
1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0.0,-1.498304669151069,1
1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0.0,-1.4978556541257637,1
0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.0,-1.497629921050133,2
0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0.0,-1.4968325584198645,1
1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0.0,-1.4967404425790152,1
0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0.0,-1.4966837535545334,1
0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0.0,-1.4965963585377215,1
1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0.0,-1.4965499577270769,1
0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0.0,-1.4962413747309933,1
1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0.0,-1.4961827603479545,1
0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0.0,-1.4961729944485525,1
1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-1.495926300499481,2
0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0.0,-1.4958395376369154,1
1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0.0,-1.4956342198110852,1
1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0.0,-1.4955339100112672,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0.0,-1.4954069842766824,1
0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0.0,-1.4952360248478056,1
0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-1.4951043874781422,1
1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0.0,-1.494942726322396,1
1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0.0,-1.4949391231288511,1
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.0,-1.4948810410410776,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-1.494705740318763,1
1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0.0,-1.494693904228996,1
0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0.0,-1.494633005069167,1
1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0.0,-1.4945877425156677,2
1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0.0,-1.4945726030113304,2
1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0.0,-1.494555268976943,1
1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0.0,-1.494496744305311,1
1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0.0,-1.4944794102709236,1
0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0.0,-1.4944685061143774,1
1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0.0,-1.4939814193224583,1
1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0.0,-1.4939587540702235,3
0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0.0,-1.493880520876007,1
0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0.0,-1.4938219962043753,1
1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0,-1.493816920367669,2
1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,-1.4936669772451934,1
1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0.0,-1.4935911185391744,1
1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.0,-1.493550576809711,3
0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0.0,-1.4934670123976472,1
1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0,-1.4934436308081285,1
1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-1.4933675703813518,1
0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0.0,-1.4932187216195896,1
1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0,-1.4931917368365264,1
0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0.0,-1.4931760784675867,1
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0.0,-1.4930796826536594,1
0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0.0,-1.4930663135607143,1
0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-1.4929516874147948,2
0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,-1.4929069897399012,1
0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0.0,-1.4927755189089575,1
1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0.0,-1.4927743321695894,1
1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0.0,-1.4927490230519738,1
1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0.0,-1.4925452269265236,1
1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-1.4925345290939014,2
1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0.0,-1.4923843311652787,1
1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0.0,-1.4923724950755117,1
1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0.0,-1.4923413340443856,1
0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0.0,-1.492333140085417,1
0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0.0,-1.4923265038836517,1
1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-1.4922554039931928,1
1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0.0,-1.4921938463133397,1
1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0.0,-1.492179545287173,1
0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0.0625,-1.4921686411306272,1
1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0.0,-1.4921054608707172,1
0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0.0,-1.4920995840686535,1
0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0.0,-1.4920746099120499,1
0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0.0,-1.4920055528500764,1
1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0.0,-1.491985204268778,1
0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-1.4919356396989851,1
0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-1.4919324412484845,1
1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.0,-1.4917220960681714,1
1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0.0,-1.491587223341157,2
0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0.0,-1.4915047971862376,1
0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0.0,-1.4914834262231782,1
0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.0,-1.491467397172708,1
1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0.0,-1.491291253555424,1
1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0.0625,-1.491246855659504,1
1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0.0,-1.491186524504224,1
1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0.0,-1.491039036773178,1
0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0.0,-1.4909621085628795,1
0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-1.4908794119343376,1
1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0.0,-1.490848874731883,1
1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.0,-1.4907354197739897,1
1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0.0,-1.4906470343313662,2
1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0.0,-1.4906158733002408,1
1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0.0,-1.490453839281851,1
1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0.0,-1.490451374345451,1
1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0.0,-1.4903006881639043,1
0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0.0,-1.4902435305705724,1
0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0.0,-1.4901741266309476,1
1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0.0,-1.4899086857220925,1
1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0.0,-1.4897182008701542,1
1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0.0,-1.4896423421641352,1
0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0.0,-1.4895623809456147,1
0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-1.4895299074068904,1
1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0.0,-1.489484644853391,1
1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0,-1.489477843209345,1
0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0.0,-1.4894576518944154,1
1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0.0,-1.4894264741506487,1
0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0.0,-1.4893978819908256,1
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0.0,-1.489383811990768,1
0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-1.4893342474209748,2
0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0.0,-1.4892678438220102,1
0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0.0,-1.4890990648941427,1
1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0.0,-1.489094155596156,1
1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-1.4890586368988425,1
0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0.0,-1.4890342878052474,1
0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.0,-1.4890105911840914,2
0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0.0,-1.488967594063199,1
1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0.0,-1.4889667612927209,1
0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0.0,-1.488905862132892,1
0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-1.4888789538144291,1
0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0.0,-1.4888030951084097,1
0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0.0,-1.4887742247632296,1
0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0.0,-1.4885078812052714,1
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0.0,-1.4882975360249586,2
0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0.0,-1.4882877701255575,1
1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0.0,-1.4882646744398322,1
1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0.0,-1.488261274268574,1
1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0.0,-1.4882531381290391,2
0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.0,-1.488211911419538,1
1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0.0,-1.4881808826165646,1
1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0.0,-1.4881043332637078,1
1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0.0,-1.4878849128308307,1
1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.0,-1.4878762751915646,1
0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0.0,-1.4878277552374986,1
1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-1.487766683491367,1
1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0.0,-1.4876801269527256,1
1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0,-1.487661954440168,1
1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0.0,-1.4876459253896968,1
1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,-1.4876021845365772,1
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-1.487586526167638,1
1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0.0,-1.4875860957341485,1
0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0.0,-1.487578390028103,1
1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-1.4875591874156848,1
0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0.0,-1.487502531322084,1
0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0.0,-1.4873708939524206,1
0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0.0,-1.487348271762604,1
1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0.0,-1.4873272305997696,1
0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0.0,-1.4873163264432234,1
0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0.0,-1.4872234062213747,1
