0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,1,0,0,0,1,1,0,0.0,-0.8464572327590405,34
1,0,1,0,0,1,1,0,0.0,-0.8464378846861099,72
1,0,0,0,0,1,1,1,0.0,-0.8389704117261605,51
1,0,0,1,0,1,1,0,0.0,-0.8362414405290398,48
0,1,0,1,0,1,1,0,0.0,-0.8360440957053515,61
1,1,1,0,0,0,1,0,0.0,-0.8359531451228359,49
0,0,0,1,0,1,1,1,0.0,-0.833277597514686,99
0,0,1,1,0,1,1,0,0.0,-0.8298802226237993,110
0,1,1,1,0,0,1,0,0.0,-0.8262609419143176,109
1,1,0,1,0,1,0,0,0.0,-0.8241416323560239,38
1,0,1,1,0,1,0,0,0.0,-0.8234306117672356,48
0,1,0,0,0,1,1,1,0.0,-0.8228158497660114,31
1,1,0,1,0,0,1,0,0.0,-0.8197600541130765,49
0,1,0,1,0,0,1,1,0.0,-0.8197166989837522,54
1,0,0,0,0,1,1,0,0.0,-0.819179094065358,25
0,0,1,0,0,1,1,1,0.0,-0.8187736551624349,51
1,1,0,0,0,0,1,1,0.0,-0.8185440543414347,36
1,0,1,0,0,1,0,1,0.0,-0.8165714569637283,50
1,1,1,1,0,0,0,0,0.0,-0.8160225272733682,58
1,1,0,0,0,1,0,1,0.0,-0.8151607990745406,20
1,0,0,1,0,1,0,1,0.0,-0.8136974680415574,28
0,0,0,1,0,1,1,0,0.0,-0.811547010598804,51
1,0,1,0,0,0,1,1,0.0,-0.8113505890715224,60
0,1,1,0,0,0,1,1,0.0,-0.8112094034841904,57
1,0,1,1,0,0,1,0,0.0,-0.8104449103651885,71
1,1,1,0,0,1,0,0,0.0,-0.8088369437944574,31
1,1,0,0,0,0,1,0,0.0,-0.8087818018813636,32
0,0,0,0,0,1,1,1,0.0,-0.8081448492314809,32
0,1,0,1,0,0,1,0,0.0,-0.8080151772686016,67
0,0,1,1,0,0,1,1,0.0,-0.8063787087052182,108
0,1,0,1,0,1,0,1,0.0,-0.8062325141857358,41
1,1,1,0,0,0,0,1,0.0,-0.8052184015010979,36
1,0,1,0,0,0,1,0,0.0,-0.805042675591505,43
0,1,1,0,0,1,1,0,0.0,-0.8033614758693631,28
0,0,1,1,0,1,0,1,0.0,-0.8014986470663021,74
0,1,0,0,0,0,1,1,0.0,-0.8006680449325161,28
1,0,1,0,0,1,0,0,0.0,-0.799397908387419,41
1,0,0,0,0,1,0,1,0.0,-0.7987881697017896,15
0,0,1,1,0,0,1,0,0.0,-0.7981315259701214,73
0,1,1,0,0,0,1,0,0.0,-0.7980888828230323,28
1,1,1,0,0,0,0,0,0.0,-0.7980739181255202,23
1,0,0,1,0,1,0,0,0.0,-0.7979429184112553,14
0,1,1,1,0,0,0,1,0.0,-0.7970110504574641,68
1,1,0,1,0,0,0,1,0.0,-0.7963477657262377,22
0,1,0,0,0,1,1,0,0.0,-0.796211924924068,14
0,0,1,0,0,1,1,0,0.0,-0.7956240693005453,31
1,1,0,0,0,1,0,0,0.0,-0.7945329115181774,12
0,0,1,0,0,0,1,1,0.0,-0.7929060721120116,43
0,0,0,1,0,1,0,1,0.0,-0.7926409384001197,29
1,1,0,1,0,0,0,0,0.0,-0.7906222812966676,27
0,1,1,1,0,1,0,0,0.0,-0.789043811054817,43
1,0,1,1,0,0,0,1,0.0,-0.7884626279404678,54
0,1,0,1,0,0,0,1,0.0,-0.7882407891705613,35
0,1,1,1,0,0,0,0,0.0,-0.7879272978268068,48
1,1,0,0,0,0,0,1,0.0,-0.7875225616184389,18
1,0,1,1,0,0,0,0,0.0,-0.7861914824909513,30
1,0,1,0,0,0,0,1,0.0,-0.7852134412906987,27
0,0,0,1,0,0,1,1,0.0,-0.7846536890738437,50
0,1,0,1,0,1,0,0,0.0,-0.7836653573742933,19
0,0,1,1,0,1,0,0,0.0,-0.7823858292349133,42
1,0,0,0,0,0,1,1,0.0,-0.7806999908443913,23
0,0,1,1,0,0,0,1,0.0,-0.7797871438341994,54
1,0,0,1,0,0,1,1,0.0,-0.7769788205780257,30
1,0,0,1,0,0,1,0,0.0,-0.7720899060440158,22
0,1,1,0,0,0,0,1,0.0,-0.770992039490093,23
0,0,1,0,0,1,0,1,0.0,-0.769395541866962,23
0,1,0,0,0,1,0,1,0.0,-0.7685533915283664,9
0,1,1,0,0,1,0,1,0.0,-0.7662274391148485,12
1,0,0,1,0,0,0,1,0.0,-0.7595831269781085,20
0,0,0,0,1,1,1,1,0.0,-0.7510509408625717,5
1,1,0,1,0,1,1,0,0.0,-0.7508908305008322,9
0,1,0,0,1,1,1,0,0.0,-0.7497092146196114,7
0,0,1,0,1,1,1,0,0.0,-0.7481999336891174,17
0,1,1,0,1,0,1,0,0.0,-0.747716167851394,17
1,0,1,1,0,1,1,0,0.0,-0.7452954649698722,28
1,1,1,0,0,1,1,0,0.0,-0.7443275961201725,7
1,1,0,0,0,1,1,1,0.0,-0.7437937171259354,7
0,1,1,0,0,1,0,0,0.0,-0.7422412833573984,12
0,1,0,0,1,0,1,1,0.0,-0.7406255572033964,12
1,0,1,0,0,1,1,1,0.0,-0.7403200300729511,10
0,1,0,1,0,1,1,1,0.0,-0.7353198493273261,14
0,1,0,0,1,1,0,1,0.125,-0.7342295405659969,1
0,1,0,0,1,1,0,1,0.0,-0.7342295405659969,6
0,0,1,0,1,1,0,1,0.0,-0.7341502655976211,10
1,0,1,0,1,1,0,0,0.0,-0.7328303056368968,4
0,1,1,0,1,0,0,1,0.0,-0.7327981838605415,10
0,0,1,0,1,0,1,1,0.0,-0.7319421590759205,8
1,0,0,0,1,1,1,0,0.0,-0.7307628592152673,7
1,1,0,0,1,1,0,0,0.0,-0.7288867340746265,9
1,1,1,1,0,0,1,0,0.0,-0.7287266311746292,16
1,0,0,1,0,1,1,1,0.0,-0.7287045869698736,11
1,1,1,0,1,0,0,0,0.0,-0.7285577360147875,10
0,0,0,1,1,1,1,0,0.0,-0.7279141483354962,13
0,0,1,1,0,1,1,1,0.0,-0.7257016372657203,32
0,1,1,1,0,1,1,0,0.0,-0.7249888804707274,13
0,1,1,1,1,0,0,0,0.0,-0.723194488302857,20
0,1,0,1,1,1,0,0,0.0,-0.7228025525175253,10
1,0,0,0,1,1,0,1,0.0,-0.7225507941937861,3
0,1,0,1,1,0,1,0,0.0,-0.7214337356450833,14
0,0,0,1,1,1,0,1,0.0,-0.7211869354788989,10
