0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,1,1,0,0.0,-0.5998434797089727,50
1,0,0,0,0,1,1,1,0.0,-0.5998260575142134,37
1,1,1,0,0,0,1,0,0.0,-0.5975001384907788,46
1,1,0,0,0,1,1,0,0.0,-0.5971768056487415,31
0,0,0,1,0,1,1,1,0.0,-0.5951311241059141,19
1,0,0,1,0,1,1,0,0.0,-0.5949479266284021,52
1,0,1,0,0,0,1,1,0.0,-0.5938102292383124,40
1,1,0,0,0,0,1,1,0.0,-0.5938006356214081,31
0,1,0,1,0,0,1,1,0.0,-0.5916484647515499,34
0,1,1,1,0,0,1,0,0.0,-0.591323949898389,35
0,0,1,1,0,1,1,0,0.0,-0.5911245285781411,40
1,0,1,0,0,1,0,1,0.0,-0.5910050934998761,40
0,0,1,0,0,1,1,1,0.0,-0.5908783858867358,36
0,1,0,1,0,1,1,0,0.0,-0.5907336045211035,33
1,1,0,1,0,0,1,0,0.0,-0.5903836050943974,39
0,1,0,0,0,1,1,1,0.0,-0.5897016549860034,18
1,0,1,1,0,1,0,0,0.0,-0.5896781203920749,55
0,1,1,0,0,0,1,1,0.0,-0.5896167068481827,35
0,1,1,0,0,0,1,1,0.125,-0.5896167068481827,1
1,0,1,1,0,0,1,0,0.0,-0.5896073918676071,54
0,0,1,1,0,0,1,1,0.0,-0.5893823083652612,37
1,0,0,1,0,1,0,1,0.0,-0.5888215608766756,31
1,1,1,1,0,0,0,0,0.0,-0.5884742810514393,65
1,1,1,0,0,0,0,1,0.0,-0.5883401538004392,50
1,1,0,0,0,1,0,1,0.0,-0.5878087876018236,28
1,1,0,1,0,1,0,0,0.0,-0.5872676213377173,38
1,1,0,1,0,0,0,1,0.0,-0.5839356408614281,40
1,0,1,1,0,0,0,1,0.0,-0.5836890594724591,60
0,0,1,1,0,1,0,1,0.0,-0.582836087615298,32
1,1,1,0,0,1,0,0,0.0,-0.5827183104484224,30
0,1,1,1,0,0,0,1,0.0,-0.582713910454303,34
0,1,0,1,0,1,0,1,0.0,-0.5819155317204388,15
1,0,0,1,0,0,1,1,0.0,-0.5799608523294356,30
0,1,1,0,0,1,1,0,0.0,-0.5797480227894302,23
0,1,1,1,0,1,0,0,0.0,-0.572801036844506,26
1,0,0,0,0,1,1,0,0.0,-0.5696615220917322,24
1,0,1,0,0,0,1,0,0.0,-0.5686395472161218,24
0,1,1,0,0,1,0,1,0.0,-0.5682179295313954,23
1,1,0,0,0,0,1,0,0.0,-0.5673505687917901,16
0,0,0,0,0,1,1,1,0.0,-0.5668556818583095,21
0,1,0,0,0,0,1,1,0.0,-0.565626390738008,11
0,0,1,0,0,0,1,1,0.0,-0.5654254260028412,21
0,1,0,1,0,0,1,0,0.0,-0.5644801500496803,16
1,0,0,0,0,1,0,1,0.0,-0.564332581571085,27
0,0,0,1,0,1,1,0,0.0,-0.5642483408111808,23
1,0,1,0,0,0,0,1,0.0,-0.5635186400520531,35
0,0,1,1,0,0,1,0,0.0,-0.5634933784708188,28
1,1,1,0,0,0,0,0,0.0,-0.5628596310761893,27
1,0,0,0,0,0,1,1,0.0,-0.5623720465816723,18
0,1,1,0,0,0,1,0,0.0,-0.5619228369811252,15
1,0,1,0,0,1,0,0,0.0,-0.5618101021827624,21
1,1,0,0,0,0,0,1,0.0,-0.5617000297899,20
0,0,0,1,0,0,1,1,0.0,-0.5612498955589011,17
0,0,0,0,1,1,1,1,0.0,-0.5609465568384563,20
1,0,0,1,0,1,0,0,0.0,-0.5601521247247501,34
1,0,1,1,0,0,0,0,0.0,-0.5600134767208244,39
0,0,1,0,0,1,1,0,0.0,-0.5594700474268148,18
0,0,0,1,0,1,0,1,0.0,-0.5594693455367872,10
0,0,0,1,0,1,0,1,0.125,-0.5594693455367872,1
0,1,0,1,0,0,0,1,0.0,-0.5593795562940438,17
1,1,0,1,0,0,0,0,0.0,-0.558980673302366,22
0,0,1,1,0,0,0,1,0.0,-0.5589224165530036,31
0,1,0,0,1,0,1,1,0.0,-0.5586251992884472,26
0,1,1,0,1,0,1,0,0.0,-0.5585030428491502,31
0,0,1,0,1,0,1,1,0.0,-0.5580829659210689,25
1,1,0,0,0,1,0,0,0.0,-0.5573344114772828,22
0,0,1,0,1,1,1,0,0.125,-0.5571423197245474,1
0,0,1,0,1,1,1,0,0.0,-0.5571423197245474,23
0,1,0,0,0,1,1,0,0.0,-0.5570139317186551,9
0,1,1,1,0,0,0,0,0.0,-0.5565151398578012,24
1,0,0,1,0,0,1,0,0.0,-0.555315725472433,22
0,1,1,0,1,0,0,1,0.0,-0.5552011172813609,39
0,1,0,0,1,1,1,0,0.0,-0.5550274726485992,23
0,0,1,0,1,1,0,1,0.0,-0.554161992638001,39
0,1,1,0,0,0,0,1,0.0,-0.5541102227681185,12
0,0,1,1,0,1,0,0,0.0,-0.5529228484259329,21
1,0,0,1,0,0,0,1,0.0,-0.5529068387657345,28
1,0,1,0,1,1,0,0,0.0,-0.5523922014660158,39
1,1,1,0,1,0,0,0,0.0,-0.552349663929735,46
1,0,0,0,1,1,1,0,0.0,-0.5521515354121821,15
0,0,1,0,0,1,0,1,0.0,-0.551979031695051,18
0,1,0,0,1,1,0,1,0.0,-0.5515175137242314,22
1,0,0,0,1,1,0,1,0.0,-0.5513332835367527,30
0,1,0,1,0,1,0,0,0.0,-0.5507229077236463,12
1,0,1,0,1,0,1,0,0.0,-0.5496962254746525,39
1,0,1,0,1,0,0,1,0.0,-0.5490860069558015,36
0,1,0,0,0,1,0,1,0.0,-0.5489932841490697,12
1,1,0,0,1,0,1,0,0.0,-0.5487485156825327,29
1,0,1,0,0,1,1,1,0.0,-0.5486708518109813,3
0,0,0,1,1,1,1,0,0.0,-0.5485099736082171,25
1,1,0,0,1,1,0,0,0.0,-0.5482577793927478,27
0,0,0,1,1,1,0,1,0.0,-0.5482416669790409,21
0,1,1,1,1,0,0,0,0.0,-0.5477767921879332,34
0,1,0,1,1,0,1,0,0.0,-0.5476497164170091,21
1,1,0,0,1,0,0,1,0.0,-0.5476086653258598,32
1,1,0,0,0,1,1,1,0.0,-0.5472835625581776,5
0,1,0,1,1,0,0,1,0.0,-0.54705981130659,24
1,0,1,1,0,1,1,0,0.0,-0.5466462046637036,15
0,0,1,1,1,0,1,0,0.125,-0.546321676205936,1
0,0,1,1,1,0,1,0,0.0,-0.546321676205936,32
0,0,1,1,1,0,0,1,0.0,-0.5462614029333382,28
1,1,0,1,0,1,1,0,0.0,-0.5460447222545949,7
0,0,1,1,1,1,0,0,0.0,-0.5452765671857723,18
1,1,1,0,0,1,1,0,0.0,-0.5447329869878582,13
0,1,0,1,1,1,0,0,0.0,-0.5434178951156973,16
1,0,0,1,0,1,1,1,0.0,-0.5432497435652228,6
1,1,1,0,0,0,1,1,0.0,-0.5426130419999239,9
0,1,1,0,1,1,0,0,0.0,-0.5426053772621622,29
1,1,1,1,0,0,1,0,0.0,-0.5420494952114476,9
0,1,0,1,0,1,1,1,0.0,-0.5415586093027911,9
0,0,1,1,0,1,1,1,0.0,-0.5406701485524015,5
0,0,0,1,1,0,1,1,0.0,-0.5404967959764324,22
1,0,0,0,1,0,1,1,0.0,-0.5398473275226174,23
1,0,0,1,1,1,0,0,0.0,-0.5373235845073069,23
0,1,1,1,0,0,1,1,0.0,-0.537155101279786,10
1,0,1,1,0,1,0,1,0.0,-0.5370103932235282,6
0,1,1,0,0,1,0,0,0.0,-0.5364997503694149,12
1,1,0,1,0,1,0,1,0.0,-0.5358792789765974,8
1,0,1,1,1,0,0,0,0.0,-0.5357516014414622,51
1,1,0,1,1,0,0,0,0.0,-0.5350600666552155,18
0,1,1,1,0,1,1,0,0.0,-0.5349840160099397,4
1,1,0,1,0,0,1,1,0.0,-0.5349709534383548,8
1,1,1,1,0,1,0,0,0.0,-0.5341678407269184,10
1,0,1,1,0,0,1,1,0.0,-0.532915355404137,9
1,1,1,1,0,0,0,1,0.0,-0.5320920852900286,6
1,1,1,0,0,1,0,1,0.0,-0.5318555232524906,2
0,1,1,0,0,1,1,1,0.0,-0.5310985827363057,6
0,0,1,0,1,0,0,1,0.0,-0.5290380259543089,23
0,0,1,0,1,0,1,0,0.0,-0.5283008739958274,20
0,1,0,0,1,0,0,1,0.0,-0.5277712426764385,16
0,1,0,0,1,0,1,0,0.0,-0.5275637225557784,11
0,0,0,0,1,1,0,1,0.0,-0.5266997301148271,10
0,0,0,0,1,1,1,0,0.125,-0.526170611512924,1
0,0,0,0,1,1,1,0,0.0,-0.526170611512924,14
0,0,0,0,1,0,1,1,0.0,-0.5258550326700457,23
0,1,1,0,1,0,0,0,0.0,-0.5251091846540599,15
1,0,0,1,1,0,0,1,0.0,-0.5250635661687867,16
1,0,0,1,1,0,1,0,0.0,-0.5229617642302677,18
0,1,1,1,0,1,0,1,0.0,-0.5226564975208259,7
1,0,1,0,1,0,0,0,0.0,-0.5215172621733675,24
0,0,1,0,1,1,0,0,0.0,-0.5203555914178366,20
1,0,0,0,1,1,0,0,0.0,-0.5187706853540277,23
1,1,0,0,1,0,0,0,0.0,-0.5187605357359987,16
0,0,1,1,1,0,0,0,0.0,-0.5179744102786525,16
0,1,0,1,1,0,0,0,0.0,-0.5174934338444768,16
0,1,0,0,1,1,0,0,0.125,-0.5164317276966395,1
0,1,0,0,1,1,0,0,0.0,-0.5164317276966395,16
0,0,0,1,1,1,0,0,0.0,-0.5149608209240643,12
0,0,0,1,1,0,0,1,0.0,-0.5146894316322306,12
1,0,0,0,1,0,0,1,0.0,-0.5142082658044139,21
1,0,0,0,1,0,1,0,0.0,-0.5113090386348156,22
0,0,0,1,1,0,1,0,0.0,-0.5112402592163788,10
0,0,1,0,1,1,1,1,0.0,-0.510581101729607,4
0,1,0,0,1,1,1,1,0.0,-0.5097456394610862,4
0,1,1,0,1,0,1,1,0.0,-0.5082273562613463,6
1,0,1,0,1,1,1,0,0.0,-0.5079453338921469,7
1,1,0,0,1,1,1,0,0.0,-0.5056199284641276,4
1,1,1,0,1,0,1,0,0.0,-0.5045099262442454,5
1,0,0,0,1,1,1,1,0.0,-0.504346514379802,4
1,0,1,0,1,1,0,1,0.0,-0.5036176363282678,8
0,1,1,0,1,1,1,0,0.0,-0.5033734045820986,1
0,0,0,1,1,1,1,1,0.0,-0.501423200448089,10
0,0,1,1,1,1,1,0,0.0,-0.5009980022379017,5
0,1,0,1,1,1,1,0,0.0,-0.5009483468130755,3
1,1,0,0,1,1,0,1,0.0,-0.5007625990624271,6
0,1,1,1,1,0,1,0,0.0,-0.500105357128442,6
1,1,1,0,1,0,0,1,0.0,-0.49986063019912363,5
1,1,1,0,1,1,0,0,0.0,-0.49925351922661165,11
1,0,0,1,1,0,0,0,0.0,-0.49802037655154063,16
1,1,0,0,1,0,1,1,0.0,-0.49722902605728925,5
0,0,1,1,1,1,0,1,0.0,-0.49722024992027625,4
1,0,1,0,1,0,1,1,0.0,-0.49689735104198174,6
0,1,0,1,1,0,1,1,0.0,-0.49684847466401716,6
0,1,0,1,1,1,0,1,0.0,-0.49664096265762847,6
0,1,1,0,1,1,0,1,0.0,-0.4963539999692814,5
0,1,1,1,1,0,0,1,0.0,-0.4960060063295735,4
0,0,1,1,1,0,1,1,0.0,-0.49424104964551696,2
1,0,1,1,1,1,0,0,0.0,-0.49246142103735624,10
0,1,1,1,1,1,0,0,0.0,-0.49110786509928117,3
1,1,0,1,1,1,0,0,0.0,-0.4903921906152101,12
1,1,1,1,1,0,0,0,0.0,-0.490165515267013,10
1,0,0,1,1,1,1,0,0.0,-0.48963914131088027,8
1,0,0,1,1,1,0,1,0.0,-0.48802346420437126,6
1,1,0,1,1,0,1,0,0.0,-0.4839827533471679,5
1,0,1,1,1,0,1,0,0.0,-0.4828652714881658,7
1,1,0,1,1,0,0,1,0.0,-0.4820454777594162,5
1,0,1,1,1,0,0,1,0.0,-0.4814576277382355,13
1,0,0,1,1,0,1,1,0.0,-0.46963733463240886,2
0,0,0,0,0,0,1,1,0.0,-0.45880933361454246,2
1,0,1,0,0,0,0,0,0.0,-0.45798033881475775,2
0,0,1,0,0,0,1,0,0.125,-0.4576737776227383,1
0,0,1,0,0,0,1,0,0.0,-0.4576737776227383,3
1,0,0,0,0,0,1,0,0.0,-0.45586420123900895,2
1,1,0,0,0,0,0,0,0.0,-0.45488234374517733,4
0,0,0,0,0,1,1,0,0.0,-0.4541101800779157,3
0,0,0,1,0,0,1,0,0.0,-0.4540238023439861,1
0,0,1,0,0,0,0,1,0.0,-0.45390024093600245,3
1,0,0,0,0,1,0,0,0.0,-0.4538004269334988,2
0,0,1,1,0,0,0,0,0.0,-0.4526658674434566,1
0,1,0,1,0,0,0,0,0.0,-0.45184362237706927,3
0,0,0,0,0,1,0,1,0.0,-0.4501286100346013,2
1,0,0,1,0,0,0,0,0.0,-0.4478940926936272,2
0,0,1,0,0,1,0,0,0.0,-0.4402030740200252,1
0,0,0,0,1,0,0,1,0.0,-0.4189823750712626,1
0,0,1,0,1,0,0,0,0.0,-0.41888831481396255,2
1,1,1,1,0,1,1,0,0.0,-0.4151172240117722,1
0,0,0,0,1,0,1,0,0.0,-0.4147357774243316,1
0,0,0,0,1,1,0,0,0.0,-0.41155616557418984,5
1,0,0,0,1,0,0,0,0.0,-0.40530235770150713,2
1,1,1,1,0,0,1,1,0.0,-0.405299680234932,1
0,0,0,1,1,0,0,0,0.0,-0.4050652756570722,1
