0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,0,0.0,-159.95221427167917,19
1,0,1,0,0,1,1,0,0.0,-159.95160013635922,19
1,1,0,0,0,1,1,0,0.0,-159.9513214548448,22
1,0,0,0,0,1,1,1,0.0,-159.94911805108825,13
0,1,1,1,0,0,1,0,0.0,-159.94814817601696,18
1,0,0,1,0,1,1,0,0.0,-159.947455949325,14
0,0,0,1,0,1,1,1,0.0,-159.94705164992462,16
0,1,0,1,0,1,1,0,0.0,-159.94689489226005,12
0,1,0,1,0,0,1,1,0.0,-159.94612770576074,17
1,1,0,1,0,0,1,0,0.0,-159.9450717612186,15
1,1,0,0,0,0,1,1,0.0,-159.94476137749746,15
0,0,1,1,0,1,1,0,0.0,-159.9441013112701,21
1,0,1,0,0,0,1,1,0.0,-159.9414530004134,15
0,1,1,0,0,0,1,1,0.0,-159.94092002296657,5
1,0,1,1,0,0,1,0,0.0,-159.94070254489554,19
0,1,0,0,0,1,1,1,0.0,-159.940578385455,9
0,0,1,1,0,0,1,1,0.0,-159.93974706617232,21
0,0,1,0,0,1,1,1,0.0,-159.93884564370413,15
1,1,1,1,0,0,0,0,0.0,-159.93859343126314,9
1,1,0,1,0,1,0,0,0.0,-159.93650812315204,17
1,0,1,1,0,1,0,0,0.0,-159.93644096840848,18
1,1,1,0,0,0,0,1,0.0,-159.93348898454167,9
1,0,1,0,0,1,0,1,0.0,-159.93330900717143,11
1,0,0,1,0,1,0,1,0.0,-159.93282604775465,12
1,1,0,0,0,1,0,1,0.0,-159.93231532267592,14
0,1,1,1,0,0,0,1,0.0,-159.9301653149619,16
1,1,0,1,0,0,0,1,0.0,-159.93000770169857,9
0,1,1,0,0,1,1,0,0.0,-159.92959954729767,8
0,1,0,1,0,1,0,1,0.0,-159.92863118617362,7
1,1,1,0,0,1,0,0,0.0,-159.92790174382685,15
0,0,1,1,0,1,0,1,0.0,-159.92655260816474,20
1,0,1,1,0,0,0,1,0.0,-159.9263534883566,14
1,0,0,1,0,0,1,1,0.0,-159.92522115121102,17
0,1,1,1,0,1,0,0,0.0,-159.91878518339917,12
0,1,1,0,0,1,0,1,0.0,-159.9076746135938,4
0,1,1,0,1,0,1,0,0.0,-159.86278297782042,10
0,1,0,0,1,0,1,1,0.0,-159.8604893237054,7
0,0,0,0,1,1,1,1,0.0,-159.85984551043342,5
0,0,0,0,1,1,1,1,0.125,-159.85984551043342,1
0,1,0,0,1,1,1,0,0.0,-159.85763464055202,4
0,0,1,0,1,1,1,0,0.0,-159.85716835563767,7
0,0,1,0,1,0,1,1,0.0,-159.85643598019257,12
0,1,1,0,1,0,0,1,0.0,-159.85196607049835,5
0,1,0,1,1,0,1,0,0.0,-159.85059579676155,12
1,1,1,0,1,0,0,0,0.0,-159.84876822446867,14
1,0,0,0,1,1,1,0,0.0,-159.84862384750295,16
0,0,0,1,1,1,1,0,0.0,-159.84797949800517,10
1,1,0,0,1,0,1,0,0.0,-159.84780741683244,11
0,1,1,1,1,0,0,0,0.0,-159.8468666065548,19
0,0,1,0,1,1,0,1,0.0,-159.8467856062653,5
0,1,0,0,1,1,0,1,0.0,-159.8465368881986,6
1,0,1,0,1,0,1,0,0.0,-159.84576549658493,18
0,0,1,1,1,0,1,0,0.0,-159.8454816140097,19
1,0,1,0,1,1,0,0,0.0,-159.84504800417818,10
0,1,0,1,1,0,0,1,0.0,-159.843440117057,12
1,1,0,0,1,1,0,0,0.0,-159.8427878628462,17
0,0,0,1,1,1,0,1,0.0,-159.84125797625032,10
1,0,0,0,1,1,0,1,0.0,-159.84115989966568,9
0,1,0,1,1,1,0,0,0.0,-159.84052577800978,8
1,1,0,0,1,0,0,1,0.0,-159.83990931104546,7
0,0,1,1,1,1,0,0,0.0,-159.83971365683738,20
0,0,1,1,1,0,0,1,0.0,-159.8390409372862,12
1,0,1,0,1,0,0,1,0.0,-159.83858239377895,17
0,1,1,0,1,1,0,0,0.0,-159.83696406928286,9
0,0,0,1,1,0,1,1,0.0,-159.83515946039188,8
1,0,0,0,1,0,1,1,0.0,-159.83001091904163,11
1,1,0,1,1,0,0,0,0.0,-159.8278920777727,13
1,0,0,1,1,1,0,0,0.0,-159.82717018090852,18
1,0,1,1,1,0,0,0,0.0,-159.82550432126726,6
1,0,0,1,1,0,1,0,0.0,-159.81213878352963,14
1,0,0,1,1,0,0,1,0.0,-159.8086169083411,13
0,1,0,1,0,0,1,0,0.0,-149.97239857927934,1
1,1,0,0,0,0,1,0,0.0,-149.9720018856437,3
1,0,1,0,0,0,1,0,0.0,-149.9704206780496,1
0,0,0,1,0,1,1,0,0.0,-149.96830799084287,1
0,0,1,1,0,0,1,0,0.0,-149.967745109181,5
0,0,0,0,0,1,1,1,0.0,-149.9669045263239,2
0,0,1,0,0,0,1,1,0.0,-149.9654299984166,2
1,0,0,0,0,0,1,1,0.0,-149.95950098688508,2
0,1,0,0,0,1,1,0,0.0,-149.95939805741028,1
0,0,1,0,0,1,1,0,0.0,-149.9593924851494,1
1,1,0,1,0,0,0,0,0.0,-149.95926659386004,1
0,1,0,1,0,0,0,1,0.0,-149.95915346990375,1
1,1,0,0,0,0,0,1,0.0,-149.95801435018564,1
1,0,0,0,0,1,0,1,0.0,-149.95779064912574,2
0,1,1,1,0,0,0,0,0.0,-149.95774507302283,1
1,0,1,1,0,0,0,0,0.0,-149.95733955000804,1
1,0,1,0,0,0,0,1,0.0,-149.9571481455726,1
1,0,1,0,0,1,0,0,0.0,-149.95684386725947,1
0,0,0,1,0,1,0,1,0.0,-149.95549703941697,3
