0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,0,0.0,-0.8502526680210636,22
1,1,1,0,0,0,1,0,0.125,-0.8502526680210636,2
1,0,1,0,0,1,1,0,0.0,-0.8496385327011295,25
1,1,0,0,0,1,1,0,0.0,-0.8493598511867342,36
1,0,0,0,0,1,1,1,0.0,-0.8471564474302005,25
0,1,1,1,0,0,1,0,0.0,-0.8461865723588933,37
0,1,1,1,0,0,1,0,0.125,-0.8461865723588933,1
1,0,0,1,0,1,1,0,0.0,-0.8454943456669677,35
0,0,0,1,0,1,1,1,0.0,-0.845090046266552,47
0,1,0,1,0,1,1,0,0.0,-0.8449332886019785,38
0,1,0,1,0,0,1,1,0.0,-0.8441661021026561,50
1,1,0,1,0,0,1,0,0.0,-0.8431101575605568,27
1,1,0,1,0,0,1,0,0.125,-0.8431101575605568,2
1,1,0,0,0,0,1,1,0.0,-0.8427997738394086,25
0,0,1,1,0,1,1,0,0.0,-0.8421397076120629,27
1,0,1,0,0,0,1,1,0.0,-0.839491396755313,22
0,1,1,0,0,0,1,1,0.0,-0.838958419308502,15
1,0,1,1,0,0,1,0,0.0,-0.8387409412374736,29
0,1,0,0,0,1,1,1,0.0,-0.838616781796981,28
0,0,1,1,0,0,1,1,0.0,-0.8377854625142496,28
0,0,1,0,0,1,1,1,0.0,-0.8368840400460533,22
1,1,1,1,0,0,0,0,0.0,-0.8366318276050598,27
1,1,0,1,0,1,0,0,0.0,-0.8345465194939559,16
1,0,1,1,0,1,0,0,0.0,-0.8344793647504224,16
1,1,1,0,0,0,0,1,0.0,-0.8315273808835972,13
1,0,1,0,0,1,0,1,0.0,-0.8313474035133414,13
1,0,1,0,0,1,0,1,0.125,-0.8313474035133414,1
1,0,0,1,0,1,0,1,0.0,-0.830864444096629,12
1,1,0,0,0,1,0,1,0.0,-0.8303537190178869,15
0,1,1,1,0,0,0,1,0.0,-0.8282037113038689,27
1,1,0,1,0,0,0,1,0.0,-0.8280460980405402,14
0,1,1,0,0,1,1,0,0.0,-0.8276379436396111,17
0,1,1,0,0,1,1,0,0.125,-0.8276379436396111,1
0,1,0,1,0,1,0,1,0.0,-0.8266695825155732,22
1,1,1,0,0,1,0,0,0.0,-0.8259401401687996,12
0,0,1,1,0,1,0,1,0.0,-0.824591004506717,24
1,0,1,1,0,0,0,1,0.0,-0.8243918846985159,11
1,0,0,1,0,0,1,1,0.0,-0.8232595475529378,11
0,1,1,1,0,1,0,0,0.0,-0.8168235797410681,19
0,1,0,1,0,0,1,0,0.0,-0.8143095758499477,6
1,1,0,0,0,0,1,0,0.0,-0.8139128822142401,12
1,0,0,0,0,1,1,0,0.0,-0.8132550232046661,5
1,0,1,0,0,0,1,0,0.0,-0.8123316746201714,3
0,1,0,0,0,0,1,1,0.0,-0.8109336258465776,2
0,0,0,1,0,1,1,0,0.0,-0.8102189874134778,13
0,0,1,1,0,0,1,0,0.0,-0.8096561057515681,9
0,0,0,0,0,1,1,1,0.0,-0.8088155228944889,5
0,1,1,0,0,0,1,0,0.0,-0.8083923935827899,2
0,0,1,0,0,0,1,1,0.0,-0.8073409949871859,4
0,1,1,0,0,1,0,1,0.0,-0.8057130099357566,7
0,0,0,1,0,0,1,1,0.0,-0.804168838512475,7
1,1,1,0,0,0,0,0,0.0,-0.8039493738006751,4
1,0,0,0,0,0,1,1,0.0,-0.8014119834556601,2
0,1,0,0,0,1,1,0,0.0,-0.8013090539808763,3
0,0,1,0,0,1,1,0,0.0,-0.8013034817199755,1
1,1,0,1,0,0,0,0,0.0,-0.801177590430622,5
0,1,0,1,0,0,0,1,0.0,-0.8010644664743302,6
1,1,0,0,0,0,0,1,0.0,-0.7999253467561802,2
0,1,1,1,0,0,0,0,0.0,-0.7996560695934072,4
1,0,1,1,0,0,0,0,0.0,-0.7992505465786244,3
1,0,1,0,0,0,0,1,0.0,-0.7990591421431709,6
1,0,0,1,0,1,0,0,0.0,-0.7989814038863448,3
0,0,0,1,0,1,0,1,0.0,-0.7974080359875384,1
0,0,1,1,0,0,0,1,0.0,-0.7971259993570099,3
1,0,0,1,0,0,1,0,0.0,-0.7968093248907999,6
1,1,0,0,0,1,0,0,0.0,-0.7960340098445721,2
0,1,1,0,0,0,0,1,0.0,-0.791486056589723,1
0,1,0,1,0,1,0,0,0.0,-0.7913802387147187,8
0,0,1,1,0,1,0,0,0.0,-0.7910288301958894,6
0,0,1,0,0,1,0,1,0.0,-0.7848313026765864,1
0,1,0,0,0,1,0,1,0.0,-0.784121871956428,3
0,1,1,0,0,1,0,0,0.0,-0.7697141666618983,2
1,1,0,1,0,1,1,0,0.0,-0.7691573995167189,2
1,1,0,1,0,1,1,0,0.125,-0.7691573995167189,1
1,1,1,1,0,0,1,0,0.0,-0.7642201605060492,3
0,1,0,1,0,1,1,1,0.125,-0.7624495310367274,1
0,1,0,1,0,1,1,1,0.0,-0.7624495310367272,2
1,1,1,0,0,0,1,1,0.0,-0.7600575737378801,2
0,1,0,0,1,0,1,1,0.0,-0.7585277200473769,3
0,0,0,0,1,1,1,1,0.0,-0.7578839067753933,1
0,1,1,1,0,0,1,1,0.125,-0.7569611127032492,1
0,1,1,1,0,0,1,1,0.0,-0.7569611127032492,2
0,1,1,1,0,1,1,0,0.0,-0.7560323953993822,1
0,0,1,0,1,1,1,0,0.0,-0.7552067519796206,4
0,1,1,0,1,0,0,1,0.0,-0.7500044668403063,1
1,1,1,1,0,1,0,0,0.0,-0.7492228669568519,1
1,0,1,1,0,0,1,1,0.0,-0.7461091779912594,1
0,0,0,1,1,1,1,0,0.0,-0.7460178943471831,1
0,1,0,0,1,1,0,1,0.0,-0.7445752845406023,1
0,0,1,1,1,0,1,0,0.0,-0.7435200103516826,1
1,0,1,0,1,1,0,0,0.0,-0.7430864005201514,1
0,0,0,1,1,1,0,1,0.0,-0.739296372592287,1
0,1,0,1,1,1,0,0,0.0,-0.7385641743516939,2
0,0,1,1,1,1,0,0,0.0,-0.7377520531793786,1
1,0,1,0,1,0,0,1,0.0,-0.7366207901209372,1
0,1,1,0,1,1,0,0,0.0,-0.7350024656248131,1
1,1,0,1,1,0,0,0,0.0,-0.7259304741146746,1
0,0,1,1,1,0,0,0,0.0,-0.7057125921391574,1
0,1,1,1,1,1,0,0,0.0,-0.6543066851170067,1
