0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,0,1,0,0.0,-0.8502526680210636,70
1,0,1,0,0,1,1,0,0.0,-0.8496385327011295,37
1,1,0,0,0,1,1,0,0.0,-0.8493598511867342,36
1,0,0,0,0,1,1,1,0.0,-0.8471564474302005,26
0,1,1,1,0,0,1,0,0.0,-0.8461865723588933,40
1,0,0,1,0,1,1,0,0.0,-0.8454943456669677,35
0,0,0,1,0,1,1,1,0.0,-0.845090046266552,32
0,1,0,1,0,1,1,0,0.0,-0.8449332886019785,32
0,1,0,1,0,0,1,1,0.0,-0.8441661021026561,42
1,1,0,1,0,0,1,0,0.125,-0.8431101575605568,2
1,1,0,1,0,0,1,0,0.0,-0.8431101575605568,63
1,1,0,0,0,0,1,1,0.0,-0.8427997738394086,27
0,0,1,1,0,1,1,0,0.0,-0.8421397076120629,17
1,0,1,0,0,0,1,1,0.0,-0.839491396755313,30
0,1,1,0,0,0,1,1,0.0,-0.838958419308502,28
1,0,1,1,0,0,1,0,0.0,-0.8387409412374736,35
0,1,0,0,0,1,1,1,0.0,-0.838616781796981,16
0,0,1,1,0,0,1,1,0.0,-0.8377854625142496,22
0,0,1,0,0,1,1,1,0.0,-0.8368840400460533,10
1,1,1,1,0,0,0,0,0.0,-0.8366318276050598,28
1,1,0,1,0,1,0,0,0.0,-0.8345465194939559,25
1,0,1,1,0,1,0,0,0.0,-0.8344793647504224,21
1,1,1,0,0,0,0,1,0.0,-0.8315273808835972,23
1,0,1,0,0,1,0,1,0.0,-0.8313474035133414,11
1,0,0,1,0,1,0,1,0.0,-0.830864444096629,16
1,1,0,0,0,1,0,1,0.0,-0.8303537190178869,16
0,1,1,1,0,0,0,1,0.0,-0.8282037113038689,27
1,1,0,1,0,0,0,1,0.0,-0.8280460980405402,22
0,1,1,0,0,1,1,0,0.0,-0.8276379436396111,12
0,1,0,1,0,1,0,1,0.0,-0.8266695825155732,13
1,1,1,0,0,1,0,0,0.0,-0.8259401401687996,11
0,0,1,1,0,1,0,1,0.0,-0.824591004506717,8
1,0,1,1,0,0,0,1,0.0,-0.8243918846985159,11
1,0,0,1,0,0,1,1,0.0,-0.8232595475529378,17
0,1,1,1,0,1,0,0,0.0,-0.8168235797410681,18
0,1,0,1,0,0,1,0,0.0,-0.8143095758499477,8
1,1,0,0,0,0,1,0,0.0,-0.8139128822142401,13
1,0,0,0,0,1,1,0,0.0,-0.8132550232046661,9
1,0,1,0,0,0,1,0,0.0,-0.8123316746201714,4
0,1,0,0,0,0,1,1,0.0,-0.8109336258465776,4
0,0,0,1,0,1,1,0,0.0,-0.8102189874134778,1
0,0,1,1,0,0,1,0,0.0,-0.8096561057515681,7
0,0,0,0,0,1,1,1,0.0,-0.8088155228944889,2
0,1,1,0,0,0,1,0,0.0,-0.8083923935827899,5
0,0,1,0,0,0,1,1,0.0,-0.8073409949871859,4
0,0,0,1,0,0,1,1,0.0,-0.804168838512475,3
1,1,1,0,0,0,0,0,0.0,-0.8039493738006751,3
1,0,0,0,0,0,1,1,0.0,-0.8014119834556601,3
0,1,0,0,0,1,1,0,0.0,-0.8013090539808763,1
1,1,0,1,0,0,0,0,0.0,-0.801177590430622,4
0,1,0,1,0,0,0,1,0.0,-0.8010644664743302,4
1,1,0,0,0,0,0,1,0.0,-0.7999253467561802,1
1,0,0,0,0,1,0,1,0.0,-0.7997016456962847,1
0,1,1,1,0,0,0,0,0.0,-0.7996560695934072,7
1,0,1,1,0,0,0,0,0.0,-0.7992505465786244,2
1,0,1,0,0,0,0,1,0.0,-0.7990591421431709,3
1,0,0,1,0,1,0,0,0.0,-0.7989814038863448,3
1,0,1,0,0,1,0,0,0.0,-0.7987548638300536,1
0,0,0,1,0,1,0,1,0.0,-0.7974080359875384,1
0,0,1,1,0,0,0,1,0.0,-0.7971259993570099,3
1,0,0,1,0,0,1,0,0.0,-0.7968093248907999,3
0,1,1,0,0,0,0,1,0.0,-0.791486056589723,2
0,1,0,1,0,1,0,0,0.0,-0.7913802387147187,1
0,0,1,1,0,1,0,0,0.0,-0.7910288301958894,2
0,0,1,0,0,1,0,1,0.0,-0.7848313026765864,2
0,1,0,0,0,1,0,1,0.0,-0.784121871956428,3
1,1,0,1,0,1,1,0,0.125,-0.7691573995167189,1
1,1,0,1,0,1,1,0,0.0,-0.7691573995167189,1
0,1,1,1,0,0,1,1,0.0,-0.7569611127032492,1
1,1,0,1,0,1,0,1,0.0,-0.7490747432859148,1
0,1,0,1,1,0,1,0,0.0,-0.7486341931035476,1
1,0,1,0,1,0,1,0,0.0,-0.743803892926894,1
1,1,0,0,1,1,0,0,0.0,-0.7408262591881556,1
1,0,0,0,1,1,0,1,0.0,-0.7391982960076418,2
1,1,0,0,1,0,0,1,0.0,-0.7379477073874322,1
1,0,0,0,1,1,0,0,0.0,-0.7020594870557787,1
