0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.0,-24.94339636933332,1
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0.0,-24.932447748240335,1
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0,-24.928887001346638,1
1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0.0,-24.928011752604046,1
1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0.0,-24.914735978864076,1
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0.0,-24.907859252614703,1
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.0,-24.90481954694884,2
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.0,-24.90067654481254,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.0,-24.894683700407914,1
0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0.0,-24.893141244766287,1
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.0,-24.88617017918166,1
0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.0,-24.884288045594733,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0,-24.883411018510703,1
0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,-24.88240432040045,1
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.0,-24.874125264652708,1
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.0,-24.874105538749337,2
1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0.0,-24.8726758326611,1
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.0,-24.866556711717035,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0.0,-24.865527119336015,1
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0.0,-24.863036456763435,1
1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0.0,-24.853859333469774,1
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0.0,-24.85078167003353,1
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.0,-24.84877083173737,1
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-24.844567972005972,1
1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0.0,-24.844134187991404,1
1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.0,-24.84250691707854,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.0,-24.832189444117446,1
1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0.0,-24.828920204558347,1
1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0.0,-24.826295135181535,1
