0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0.0,-3.686228261035442,1
0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0.0,-3.6850303557678976,1
0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0.0,-3.6847934041169492,1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-3.684226591368353,1
0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0.0,-3.683834326593802,1
1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0.0,-3.6837448205016727,1
1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0.0,-3.6836426969258294,1
0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0.0,-3.6836010240337504,1
0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0.0,-3.683550432361662,1
0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0.0,-3.6832518659832396,1
0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0.0,-3.683237383743892,1
0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0.0,-3.6831227146805556,1
0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0.0,-3.683105131776196,1
0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0.0,-3.683103808953716,1
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0.0,-3.6830859474755173,1
1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0.0,-3.683026092159293,1
0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0.0,-3.682994830243306,1
0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0.0,-3.682960224173707,1
0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0.0,-3.6829499094706444,1
1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0.0,-3.6829280197095464,1
0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0.0,-3.682889361558756,1
1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0.0,-3.682865820353224,1
0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0.0,-3.682657325474112,1
