0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0.0,-2.9420521366122845,1
0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0.0,-2.941944124834356,1
1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0.0,-2.9410400545017943,1
0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.0,-2.940716127554114,1
1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0.0,-2.9370123799467676,1
1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0.0,-2.935910910023005,1
0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.0,-2.9353108119281,1
0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0.0,-2.93487433872103,1
0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0.0,-2.9348208370616002,1
0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-2.934318418904409,1
1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0.0,-2.9341358750893742,1
0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0.0,-2.933781664227598,1
1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0.0,-2.9333454578011113,1
1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-2.933263582726624,1
1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0.0,-2.93271848745779,1
1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0.0,-2.9324917742004306,1
0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0.0,-2.9324370379232216,2
0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-2.931458195384932,1
0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0.0,-2.931318827341594,1
1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.0,-2.9307072978303452,1
0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.0,-2.9300748863042645,1
0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0.0,-2.9291984932193667,1
1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0.0,-2.928533223062649,1
0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0.0,-2.928324701922894,1
1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0.0,-2.928279954996473,1
1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0.0,-2.927886102497361,1
0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0.0,-2.927618848843532,1
0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0.0,-2.927503817981392,1
0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0.0,-2.9269435828384918,1
1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0.0,-2.926739574089769,1
1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-2.9262592567086694,1
0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0.0,-2.926150859320591,1
0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0.0,-2.926067629604355,1
1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.0,-2.9258442980641677,1
1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0.0,-2.9257988103927635,1
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-2.9257962158836284,1
0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0.0,-2.9255242243885866,1
0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0.0,-2.9254896845793357,1
0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0.0,-2.92548187251108,1
1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0.0,-2.9251202470234303,1
1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0.0,-2.925107397499348,1
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0.0,-2.925089539107051,1
