0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0.0,-2.6944816397879516,1
1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0,-2.6926742128089334,1
1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0.0625,-2.692560917520528,1
1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0625,-2.6923188480141658,1
1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0.0,-2.6918446651555334,3
1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0.0,-2.6918191470555746,1
1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0.0,-2.691361307686281,1
1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,-2.691271109307613,1
1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0625,-2.6909925719268895,1
1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0.0,-2.6908824230434507,1
1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0.0,-2.690751299804196,1
1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0.0,-2.689924933987656,1
1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0.0,-2.689638633304933,1
1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.0,-2.689241196850923,1
1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0.0,-2.6891233129972525,1
1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0.0,-2.6885044193924106,1
1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0.0,-2.688456133815091,1
1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0.0,-2.6882768826954133,1
1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0.0,-2.688255419956221,1
1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0.0,-2.688210631242845,2
0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0.0,-2.687722233605373,1
1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0.0,-2.687710605004945,1
1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0.0,-2.687396220447324,1
1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0.0,-2.6872911867337064,1
0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0.0,-2.687215358612122,1
1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0,-2.6871695070072548,1
1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0.0,-2.6869573091684935,3
1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0.0,-2.6869460623669768,1
1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0.0,-2.686912299784518,1
1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0.0,-2.6866186109296835,1
1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0.0,-2.6863916945050152,1
1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0.0,-2.686293739668831,1
1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0.0,-2.686201266357893,1
1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0.0,-2.686055670322703,1
1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0.0,-2.6858525028624056,1
1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.0,-2.68579416806208,1
1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-2.685732038626696,1
1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0.0,-2.685656205912529,1
1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0.0,-2.6856422039808043,1
1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0.0,-2.685639237780497,1
1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0.0,-2.6856329285670655,1
1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0.0625,-2.685397992641677,1
1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0.0,-2.685368494556793,1
1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0.0625,-2.685178112638401,1
0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0.0,-2.6848611988156317,1
1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0.0,-2.684819555387353,1
1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0.0,-2.684601487155725,1
1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0.0,-2.684556283809498,1
1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0.0,-2.684388090404067,1
1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0.0,-2.6842896948035833,1
0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0.0,-2.684286386692718,1
0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0.0,-2.6841837591245103,1
1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0,-2.6840303254088926,1
0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.6840050990251902,1
0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0.0,-2.683979791234711,1
0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0.0,-2.683940619354021,1
1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0.0,-2.6839262686243024,2
0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0.0,-2.683861737757322,1
1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0.0,-2.683840763155067,2
1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0.0,-2.683812334660252,1
0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0.0,-2.6837015668853725,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0.0,-2.68369276584447,1
0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0.0,-2.683569708195098,1
1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0.0,-2.6835234558972476,1
0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-2.683441521774005,1
1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.0,-2.6833885729689033,1
1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0.0,-2.683387775193907,1
0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.0,-2.683331969683373,1
1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0.0,-2.6832575312669804,1
1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0.0,-2.683187419372136,1
1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0.0,-2.683155144096665,1
1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0.0,-2.6831139601025042,1
1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0.0,-2.683053093839741,1
1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0.0,-2.682978172740325,1
1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0.0,-2.682939192018433,1
1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0.0,-2.682923419975664,1
1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0.0,-2.6827786809633,1
1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0.0,-2.6827716083118394,1
0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0.0,-2.6826861479512694,1
0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0.0,-2.6826761999733897,1
0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0.0,-2.682500538417436,1
1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-2.682470377611103,1
1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0.0,-2.6824587778131606,1
1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0.0,-2.682214222871998,1
1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0.0,-2.6822037119286772,1
0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0.0,-2.68214211100139,1
1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0.0,-2.6819671445978943,2
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,-2.681952623292581,1
1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0.0,-2.681925456812185,1
1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0.0,-2.6818932767152286,1
1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0.125,-2.681779015616331,1
1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0.0,-2.681774413784914,1
1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0.0,-2.6817706252776508,1
1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0.0,-2.68159628931928,1
0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0.0,-2.6815591923540056,1
1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0.0,-2.681454370314048,1
1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0.0,-2.681450677618578,1
0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0.0,-2.6814239151855697,1
1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0.0,-2.6813276005074203,1
0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0.0,-2.6813127244812685,1
1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0.0,-2.681244264725621,1
0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0.0,-2.6812126255144464,1
1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0.0,-2.6810662464138217,1
1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0.0625,-2.6810544949395982,1
1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0.0,-2.6809624903931275,1
0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0.0,-2.6809304282013646,1
1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0.0,-2.680897455904693,1
0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0.0,-2.6808956437413647,1
1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0.0,-2.6808816840462057,1
1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0.0,-2.6808719747714322,1
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.0,-2.680612957924325,1
1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-2.6805678789871483,1
1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.0,-2.6805287759541536,1
0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.0,-2.6804730521467683,1
1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0.0,-2.6804458777432663,1
1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0625,-2.6804021987780597,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0.0,-2.6801838303641854,1
1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0.0625,-2.6800635984133807,1
1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0.0,-2.6800590118892944,1
1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0.0,-2.6800503038768855,1
0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0.0,-2.6799187814246235,1
1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0.0,-2.6799115839435887,1
1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.0,-2.6798853486704304,1
1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0.0,-2.6796787775014326,1
1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0.0,-2.679660535776512,1
1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0.0,-2.6796080857131015,1
0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.0,-2.679602556530028,1
0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0.0,-2.6795478152398404,1
0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0.0,-2.6795456459727998,1
0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0.0,-2.679505516142981,1
1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0.0,-2.679444152499219,1
1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0.0,-2.679443098908603,1
