0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.541958403091688,33
1,1,0,0,0,0,1,1,0.0,-0.5392507105638424,37
0,0,1,1,0,0,1,1,0.0,-0.5383397568180708,46
1,0,0,0,0,1,1,1,0.0,-0.5381906660143796,26
1,1,1,0,0,0,1,0,0.0,-0.5372930907460933,15
1,0,0,1,0,0,1,1,0.0,-0.5372365926996985,24
1,0,1,1,0,0,1,0,0.0,-0.5369144079658696,30
1,0,1,1,0,0,0,1,0.0,-0.5368032140215102,30
0,1,1,0,0,0,1,1,0.0,-0.5366123938597256,17
1,1,1,0,0,0,0,1,0.0,-0.5362904424205561,33
0,1,0,1,0,0,1,1,0.0,-0.536257895541103,47
1,0,1,0,0,1,1,0,0.0,-0.5352204740111124,16
0,0,0,1,0,1,1,1,0.0,-0.5344985912935689,41
1,1,0,1,0,0,1,0,0.0,-0.5344228123200401,32
1,0,1,0,0,1,0,1,0.0,-0.534306265267917,30
0,0,1,0,0,1,1,1,0.0,-0.5342423200253434,14
1,1,0,1,0,0,0,1,0.0,-0.5341659696202796,47
0,1,1,1,0,0,1,0,0.125,-0.5331936708496581,1
0,1,1,1,0,0,1,0,0.0,-0.533193670849658,23
1,0,0,1,0,1,1,0,0.0,-0.532960965171907,26
1,0,0,1,0,1,0,1,0.0,-0.5327925620544884,29
1,1,1,1,0,0,0,0,0.0,-0.5324391125657069,22
0,1,1,1,0,0,0,1,0.0,-0.5323422574668406,29
1,1,0,0,0,1,1,0,0.0,-0.5317820843613518,22
0,1,0,0,0,1,1,1,0.0,-0.531213664744445,17
1,1,0,0,0,1,0,1,0.0,-0.5307222268627556,28
0,0,1,1,0,1,1,0,0.0,-0.5304217944166056,15
1,0,1,1,0,1,0,0,0.0,-0.5300531328143974,14
0,0,1,1,0,1,0,1,0.0,-0.52965882061613,20
0,1,0,1,0,1,1,0,0.0,-0.5276092360177231,31
0,1,0,1,0,1,0,1,0.0,-0.5267006134618467,30
1,1,0,1,0,1,0,0,0.0,-0.526685191291252,11
1,1,1,0,0,1,0,0,0.0,-0.5263473625387443,6
0,1,1,0,0,1,1,0,0.0,-0.5255014327835613,13
0,1,1,0,0,1,0,1,0.0,-0.5238470046019081,16
