0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.541958403091688,4
1,1,0,0,0,0,1,1,0.0,-0.5392507105638424,4
0,0,1,1,0,0,1,1,0.0,-0.5383397568180708,4
1,0,0,0,0,1,1,1,0.0,-0.5381906660143796,5
1,1,1,0,0,0,1,0,0.0,-0.5372930907460933,2
1,0,1,1,0,0,1,0,0.0,-0.5369144079658696,2
1,0,1,1,0,0,0,1,0.0,-0.5368032140215102,3
0,1,1,0,0,0,1,1,0.0,-0.5366123938597256,7
1,1,1,0,0,0,0,1,0.0,-0.5362904424205561,6
0,1,0,1,0,0,1,1,0.0,-0.536257895541103,4
1,0,1,0,0,1,1,0,0.0,-0.5352204740111124,3
0,0,0,1,0,1,1,1,0.0,-0.5344985912935689,9
1,1,0,1,0,0,1,0,0.0,-0.5344228123200401,6
1,0,1,0,0,1,0,1,0.0,-0.534306265267917,8
0,0,1,0,0,1,1,1,0.0,-0.5342423200253434,3
1,1,0,1,0,0,0,1,0.0,-0.5341659696202796,10
0,1,1,1,0,0,1,0,0.0,-0.533193670849658,8
1,0,0,1,0,1,1,0,0.0,-0.532960965171907,3
1,0,0,1,0,1,0,1,0.0,-0.5327925620544884,6
1,1,1,1,0,0,0,0,0.125,-0.5324391125657069,1
1,1,1,1,0,0,0,0,0.0,-0.5324391125657069,4
0,1,1,1,0,0,0,1,0.0,-0.5323422574668406,10
1,1,0,0,0,1,1,0,0.0,-0.5317820843613518,3
0,1,0,0,0,1,1,1,0.0,-0.531213664744445,2
1,1,0,0,0,1,0,1,0.0,-0.5307222268627556,5
0,0,1,1,0,1,1,0,0.0,-0.5304217944166056,9
1,0,1,1,0,1,0,0,0.0,-0.5300531328143974,9
0,0,1,1,0,1,0,1,0.0,-0.52965882061613,10
0,1,0,1,0,1,1,0,0.0,-0.5276092360177231,3
0,1,0,1,0,1,0,1,0.0,-0.5267006134618467,10
1,1,0,1,0,1,0,0,0.0,-0.526685191291252,2
1,1,1,0,0,1,0,0,0.0,-0.5263473625387443,2
0,1,1,0,0,1,1,0,0.0,-0.5255014327835613,1
0,1,1,0,0,1,0,1,0.0,-0.5238470046019081,2
0,1,1,1,0,1,0,0,0.0,-0.5212191442641392,9
0,0,1,0,1,0,1,1,0.0,-0.5166513109408132,3
1,0,1,0,1,0,0,1,0.0,-0.5142062478743246,3
0,1,0,0,1,0,1,1,0.0,-0.5140953708336454,2
1,0,1,0,1,0,1,0,0.0,-0.5128577105027025,3
0,0,0,0,1,1,1,1,0.0,-0.5120167085899134,1
0,1,1,0,1,0,0,1,0.0,-0.5116951126391767,4
1,1,0,0,1,0,0,1,0.0,-0.5110949246428937,2
0,1,1,0,1,0,1,0,0.0,-0.5110867947060126,7
0,0,1,1,1,0,0,1,0.0,-0.5110285137346191,7
1,1,0,0,1,0,1,0,0.0,-0.5098920360266725,3
