0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.4658453116893651,7
1,0,0,1,0,0,1,1,0.0,-0.46406792983026507,9
1,0,1,1,0,0,0,1,0.0,-0.46323401919715995,5
0,0,1,1,0,0,1,1,0.0,-0.46173736698881557,10
1,1,0,0,0,0,1,1,0.0,-0.4615986246096275,20
1,1,1,0,0,0,0,1,0.0,-0.46076471397652236,12
1,0,1,1,0,0,1,0,0.0,-0.4597029692219709,3
0,1,1,0,0,0,1,1,0.0,-0.4592680617681781,14
1,0,0,0,0,1,1,1,0.0,-0.4591529079777741,11
1,1,0,1,0,0,0,1,0.0,-0.45898733211742243,14
1,0,1,0,0,1,0,1,0.0,-0.4583189973446688,12
1,0,0,0,1,0,1,1,0.0,-0.4581434151420173,7
0,1,0,1,0,0,1,1,0.0,-0.45749067990907805,23
1,0,1,0,1,0,0,1,0.0,-0.457309504508912,4
1,1,1,0,0,0,1,0,0.0,-0.4572336640013334,4
0,0,1,0,0,1,1,1,0.0,-0.45682234513632447,17
0,1,1,1,0,0,0,1,0.0,-0.4566567692759728,19
1,0,0,1,0,1,0,1,0.0,-0.45654161548556876,11
0,0,1,0,1,0,1,1,0.0,-0.4558128523005678,11
1,0,0,1,1,0,0,1,0.0,-0.4555321226498121,2
1,1,0,1,0,0,1,0,0.0,-0.4554562821422334,10
0,0,0,1,0,1,1,1,0.0,-0.45504496327722443,38
1,0,1,0,0,1,1,0,0.0,-0.45478794736947986,4
1,1,1,1,0,0,0,0,0.0,-0.45462237150912815,5
0,0,1,1,0,1,0,1,0.0,-0.45421105264411915,27
1,1,0,0,0,1,0,1,0.0,-0.4540723102649313,17
0,0,0,1,1,0,1,1,0.0,-0.45403547044146775,10
1,0,1,0,1,0,1,0,0.0,-0.45377845453372306,2
0,0,1,1,1,0,0,1,0.0,-0.45320155980836246,5
0,1,1,1,0,0,1,0,0.0,-0.45312571930078377,10
1,1,0,0,1,0,0,1,0.0,-0.4530628174291745,2
1,0,0,1,0,1,1,0,0.0,-0.4530105655103797,7
0,1,0,0,0,1,1,1,0.0,-0.45257565805658695,25
1,0,1,1,0,1,0,0,0.0,-0.4521766548772746,5
1,0,0,1,1,0,1,0,0.0,-0.4520010726746231,2
0,1,1,0,0,1,0,1,0.0,-0.45174174742348167,19
0,1,0,0,1,0,1,1,0.0,-0.45156616522083026,8
1,0,1,1,1,0,0,0,0.0,-0.4511671620415178,2
0,1,1,0,1,0,0,1,0.0,-0.450732254587725,4
0,0,1,1,0,1,1,0,0.0,-0.4506800026689303,18
1,0,0,0,1,1,0,1,0.0,-0.450617100797321,10
1,1,0,0,0,1,1,0,0.0,-0.45054126028974223,12
0,1,0,1,0,1,0,1,0.0,-0.44996436556438163,22
1,1,1,0,0,1,0,0,0.0,-0.4497073496566371,9
0,0,1,1,1,0,1,0,0.0,-0.4496705098331736,5
1,1,0,0,1,0,1,0,0.0,-0.44953176745398554,7
0,0,0,0,1,1,1,1,0.0,-0.4491204485889766,12
0,1,0,1,1,0,0,1,0.0,-0.44895487272862494,11
