0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.6042327506026794,13
1,0,0,0,0,1,1,1,0.0,-0.6028579225897838,16
1,1,1,0,0,0,1,0,0.0,-0.6027962580827149,11
1,1,0,0,0,0,1,1,0.0,-0.6027842354354724,2
1,0,1,0,0,1,1,0,0.0,-0.6010289048997207,22
0,0,1,1,0,0,1,1,0.0,-0.6010144394056431,12
0,1,0,1,0,0,1,1,0.0,-0.6007037992400328,7
1,0,1,1,0,0,1,0,0.0,-0.6000874033017868,19
0,1,1,0,0,0,1,1,0.0,-0.5998941201164463,3
0,0,0,1,0,1,1,1,0.0,-0.5995061051251236,13
1,1,0,1,0,0,1,0,0.0,-0.5990317915564272,6
0,1,1,1,0,0,1,0,0.0,-0.5987038130260095,9
1,0,0,1,0,1,1,0,0.0,-0.5983749285313383,7
1,1,0,0,0,1,1,0,0.0,-0.5982518495108503,6
1,1,1,0,0,0,0,1,0.0,-0.598084220238402,13
0,0,1,0,0,1,1,1,0.0,-0.5975859358436315,15
1,0,0,1,0,0,1,1,0.0,-0.5971018623201438,7
1,0,1,1,0,0,0,1,0.0,-0.5969961916050694,7
1,0,1,0,0,1,0,1,0.0,-0.5964776662960289,12
1,1,1,1,0,0,0,0,0.0,-0.596107355248362,9
1,1,0,1,0,0,0,1,0.0,-0.5956757639407995,1
0,0,1,1,0,1,1,0,0.0,-0.5956650785737942,15
0,1,0,0,0,1,1,1,0.0,-0.5955538520345106,5
1,0,0,1,0,1,0,1,0.0,-0.5951797001563319,9
0,1,1,1,0,0,0,1,0.0,-0.5942667478048232,8
0,1,0,1,0,1,1,0,0.0,-0.5940258981865207,5
1,0,1,1,0,1,0,0,0.0,-0.5937702511265885,8
1,1,0,0,0,1,0,1,0.0,-0.5934357949882483,8
0,0,1,1,0,1,0,1,0.0,-0.5913888125932295,17
1,1,0,1,0,1,0,0,0.0,-0.591121283240655,3
0,1,0,1,0,1,0,1,0.0,-0.5894848162870452,8
1,1,1,0,0,1,0,0,0.0,-0.5890528276241047,5
0,1,1,0,0,1,1,0,0.0,-0.5887393071487812,3
0,1,1,1,0,1,0,0,0.0,-0.583089840061636,9
0,1,1,0,0,1,0,1,0.125,-0.5828422150206206,1
0,1,1,0,0,1,0,1,0.0,-0.5828422150206206,12
1,0,1,0,0,0,1,0,0.0,-0.5713391764859982,6
0,0,1,0,0,0,1,1,0.0,-0.5707716937343872,8
1,0,0,0,0,0,1,1,0.0,-0.5700431549562164,9
0,1,0,0,0,0,1,1,0.0,-0.5694284577432159,7
1,1,0,0,0,0,1,0,0.0,-0.5692509689150778,4
1,0,1,0,0,0,0,1,0.0,-0.5686466774048204,17
0,0,0,1,0,0,1,1,0.0,-0.5684777286843201,10
0,0,1,1,0,0,1,0,0.0,-0.5677617413528361,9
1,0,0,0,0,1,1,0,0.0,-0.5674674217729574,7
0,0,0,0,0,1,1,1,0.0,-0.5671040795112754,6
0,1,0,1,0,0,1,0,0.0,-0.5668114087835122,6
0,0,1,0,1,0,1,1,0.0,-0.5664282316464684,11
1,1,0,0,0,0,0,1,0.0,-0.5662936539149894,1
0,1,1,0,0,0,1,0,0.0,-0.5657389520773317,5
0,0,1,1,0,0,0,1,0.0,-0.5653442148947853,14
0,1,0,0,1,0,1,1,0.0,-0.5652556299714029,3
1,1,1,0,0,0,0,0,0.0,-0.5650357257706912,4
1,0,1,1,0,0,0,0,0.0,-0.5648501671236663,4
1,0,0,0,0,1,0,1,0.0,-0.5646709060134906,7
1,0,0,1,0,0,1,0,0.0,-0.5644710657860568,5
0,1,0,1,0,0,0,1,0.0,-0.5641290664065507,8
0,0,0,1,0,1,1,0,0.0,-0.5637564803721711,7
0,0,0,0,1,1,1,1,0.0,-0.5634772849543161,8
0,1,1,0,1,0,1,0,0.0,-0.5633568229643116,5
1,0,0,1,0,0,0,1,0.0,-0.5631345769335643,6
1,1,0,1,0,0,0,0,0.0,-0.5628900470556825,2
0,1,1,0,0,0,0,1,0.0,-0.561700599471685,3
0,1,1,0,1,0,0,1,0.0,-0.5615738146812737,5
0,0,1,0,0,1,1,0,0.0,-0.5615735335080853,3
1,0,1,0,0,1,0,0,0.0,-0.5615719375318864,7
0,0,0,1,0,1,0,1,0.0,-0.5612349372358312,8
1,0,1,0,1,0,1,0,0.0,-0.5611952835682309,5
0,1,1,1,0,0,0,0,0.0,-0.5608591294009866,4
1,0,1,0,1,0,0,1,0.0,-0.5607581288096621,8
1,0,0,1,0,1,0,0,0.0,-0.5605367489747831,6
0,0,1,0,1,1,1,0,0.0,-0.5597374376099189,10
1,1,0,0,1,0,1,0,0.0,-0.5592777103134164,2
1,1,1,0,1,0,0,0,0.0,-0.5591085101504314,3
0,1,0,0,0,1,1,0,0.0,-0.5589017572952507,4
1,1,0,0,1,0,0,1,0.0,-0.5585757396359367,2
0,0,1,1,1,0,1,0,0.0,-0.558503658173362,8
0,0,1,1,1,0,0,1,0.0,-0.55834147603792,8
0,0,1,0,1,1,0,1,0.0,-0.5581152285675024,12
1,0,0,0,1,0,1,1,0.0,-0.5581085633796563,11
1,0,0,0,1,1,1,0,0.0,-0.5580401963861497,9
1,1,0,0,0,1,0,0,0.0,-0.557890373820392,3
0,1,0,1,1,0,1,0,0.0,-0.557723959920144,6
0,0,1,0,0,1,0,1,0.0,-0.5576959801430601,7
1,0,1,0,0,1,1,1,0.0,-0.5576108299388927,7
1,1,1,0,0,0,1,1,0.0,-0.5575209488254551,4
1,0,0,0,1,1,0,1,0.0,-0.5574990249492918,6
0,0,0,1,1,0,1,1,0.0,-0.5574289468460532,6
0,1,0,1,1,0,0,1,0.0,-0.5572969618657913,3
0,1,0,0,1,1,1,0,0.0,-0.5572362957131901,4
1,0,1,0,1,1,0,0,0.0,-0.5561907551264804,6
0,0,1,1,0,1,0,0,0.0,-0.556123959892961,4
0,1,1,1,1,0,0,0,0.0,-0.5558177235190199,5
1,1,0,0,0,1,1,1,0.0,-0.555473466953736,3
0,1,0,0,1,1,0,1,0.0,-0.555349270751863,3
0,0,0,1,1,1,1,0,0.0,-0.5552150647236567,8
1,1,1,1,0,0,1,0,0.0,-0.5551952468156772,4
0,0,0,1,1,1,0,1,0.0,-0.5549488659099253,3
0,1,0,0,0,1,0,1,0.0,-0.5547593880113147,3
1,0,0,1,0,1,1,1,0.0,-0.5546940759879164,5
1,0,1,1,0,1,1,0,0.0,-0.5545545777497138,7
1,0,1,1,0,0,1,1,0.0,-0.5539096240582195,2
0,1,1,1,0,0,1,1,0.0,-0.5537876277048759,4
0,1,0,1,0,1,0,0,0.0,-0.5535802711830631,2
1,1,0,1,0,0,1,1,0.0,-0.5534937047165738,3
1,1,0,0,1,1,0,0,0.0,-0.5526798257310919,5
0,0,1,1,0,1,1,1,0.0,-0.5526061275490921,7
1,1,1,0,0,1,1,0,0.0,-0.5523604503811337,5
1,0,1,1,1,0,0,0,0.0,-0.5520469974369525,4
0,0,1,1,1,1,0,0,0.0,-0.5516285872258482,6
0,1,0,1,0,1,1,1,0.0,-0.5516066395655324,3
1,1,0,1,1,0,0,0,0.0,-0.5502575116850746,5
1,1,1,1,0,0,0,1,0.0,-0.5500844963558245,4
1,0,1,1,0,1,0,1,0.0,-0.5496046265304828,8
0,1,0,1,1,1,0,0,0.0,-0.5492555328320561,8
0,1,1,0,1,1,0,0,0.0,-0.5490554737333856,3
1,0,0,1,1,0,0,1,0.0,-0.5485407085880577,4
1,0,0,1,1,1,0,0,0.0,-0.5484502468190289,6
1,0,0,1,1,0,1,0,0.0,-0.5476218531179415,6
1,1,0,1,0,1,0,1,0.0,-0.5475953510482627,5
0,1,1,0,0,1,0,0,0.0,-0.5466748923340445,3
0,1,1,0,0,1,1,1,0.0,-0.5465828261103867,1
0,1,1,1,0,1,1,0,0.0,-0.5464816141316639,1
1,1,1,0,0,1,0,1,0.0,-0.5457896730143064,4
1,1,1,1,0,1,0,0,0.0,-0.5449019031359803,8
0,1,1,1,0,1,0,1,0.0,-0.5401858093879635,4
0,0,0,0,1,0,1,1,0.0,-0.5318437607028139,4
0,0,1,0,1,0,0,1,0.0,-0.5314654830583594,3
0,0,1,0,1,0,1,0,0.0,-0.5312289525782619,4
0,1,0,0,1,0,1,0,0.0,-0.5294166584994828,4
0,1,0,0,1,0,0,1,0.0,-0.5293883730606695,3
1,0,1,0,1,0,0,0,0.0,-0.5266655233128593,4
0,1,1,0,1,0,0,0,0.0,-0.5262196152620374,1
0,0,0,0,1,1,0,1,0.0,-0.5259135929877725,3
0,0,0,0,1,1,1,0,0.0,-0.5257810791859642,4
1,0,0,0,1,0,0,1,0.0,-0.5248487539158255,2
0,0,0,1,1,0,0,1,0.0,-0.5240849860692232,4
0,0,1,1,1,0,0,0,0.0,-0.5238897466049913,7
1,0,0,0,1,0,1,0,0.0,-0.5235311858301694,3
0,0,0,1,1,0,1,0,0.0,-0.5224924453604405,5
0,1,0,1,1,0,0,0,0.0,-0.5222055400291488,2
1,0,0,0,1,1,0,0,0.0,-0.5209094927523434,4
0,0,1,0,1,1,0,0,0.0,-0.5209037948518345,2
0,1,1,0,1,0,1,1,0.0,-0.5203872186585774,3
0,0,0,1,1,1,0,0,0.0,-0.5180002097768512,2
0,1,0,0,1,1,0,0,0.0,-0.5174981446324812,1
1,1,1,0,1,0,1,0,0.0,-0.5174889257949975,1
1,0,1,0,1,0,1,1,0.0,-0.5169640853400632,4
0,1,0,0,1,1,1,1,0.0,-0.5167636181076014,1
1,0,0,0,1,1,1,1,0.0,-0.5163059248581274,2
