0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0.0,-59.67339372840157,1
1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0.0,-59.6705738265794,1
1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0.0,-59.64492090386374,1
0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0.0,-59.64312407440659,1
0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0.0,-59.609189928272606,1
1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0.0,-59.60036037645488,1
0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-59.598080687000476,1
1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0.0,-59.593451746158344,1
0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0.0,-59.58400341923728,1
0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0.0,-59.580264294107884,1
1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0.0,-59.574581323855924,1
1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0.0,-59.572638225197856,1
0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-59.567473453124975,1
0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0.0,-59.548820865129564,2
0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-59.52988727247997,1
1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0.0,-59.52471227667445,1
0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0.0,-59.523962854741875,1
0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0.0,-59.52108904780718,1
1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0.0,-59.519363595727945,1
0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-59.514112324107465,1
1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0.0,-59.513379348245,1
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-59.50995913378687,1
1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-59.508646286220696,2
0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0.0,-59.504249591960864,1
1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0.0,-59.50130375039152,1
0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0.0,-59.499483219976604,1
0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0.0,-59.49808180847764,1
0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.0,-59.48852605346367,2
0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0.0,-59.480295637271915,1
0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0.0,-59.47871846663869,1
0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0.0,-59.477971601523144,1
1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0.0,-59.4717224551386,1
1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0.0,-59.4664781612675,1
0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0.0,-59.46208896617035,1
0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0.0,-59.460833987057185,1
0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0.0,-59.454241693918746,1
0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0.0,-59.450435839878494,1
