0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0.0,-3.150786964257665,1
1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0.0,-3.148582633077479,1
1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0.0,-3.1484537337629046,1
0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0.0,-3.1480209833866235,1
0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,-3.147549858982033,1
1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0.0,-3.147411051558994,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0.0,-3.1468749819817012,2
1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0.0,-3.146077910255761,1
1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0.0,-3.1459878543746704,1
0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0.0,-3.1457990831826703,1
1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0.0,-3.1457848736870386,2
0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0.0,-3.145492777699399,1
1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0.0,-3.1454818321956415,1
0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.0,-3.145232699787497,1
1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0.0,-3.145151418087418,1
1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0.0,-3.144743125298796,1
0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0.0,-3.14452147679936,1
1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-3.1443438063559435,1
1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0.0,-3.14381202138587,1
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-3.143772001558957,1
1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0.0,-3.1436958784990328,1
1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0.0,-3.143680006782498,1
1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0.0,-3.1432558179816215,1
0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0.0,-3.1430810450180227,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0.0,-3.142874691150116,1
1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0.0,-3.1427556748296226,1
0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0.0,-3.142538176005061,1
0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0.0,-3.142031209477451,1
1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0.0,-3.1419821661007847,1
1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0.0,-3.141777091251338,1
0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0.0,-3.141582326013484,2
1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0.0,-3.141581751181689,1
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0.0,-3.1412958762841408,1
