0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0.0,-5.880523631292695,1
1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.0,-5.875681655431118,1
0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0.0,-5.8643091948860615,1
1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0.0,-5.8640671887618465,1
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0.0,-5.861705161578777,1
0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0.0,-5.860825314529398,1
0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0.0,-5.860093281962568,1
1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0.0,-5.856615392631027,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0.0,-5.854072399959166,1
1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0.0,-5.8503848973879276,1
1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.0,-5.848453513055697,1
0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0.0,-5.84769691464712,1
1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.0,-5.847036202894289,1
1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0.0,-5.846377359890662,1
0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0.0,-5.842210312529554,1
0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0.0,-5.841461227410434,1
1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0.0,-5.839405006178212,1
1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.0,-5.836858371834598,1
1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.0,-5.836456241157796,1
0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.0,-5.835447366215536,1
1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,-5.835282471099971,1
0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0.0,-5.834532938303526,1
0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0.0,-5.832581634329587,1
0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,-5.830920479415527,1
0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0.0,-5.830789450405332,1
0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0.0,-5.830182870765657,1
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.0,-5.8300012668474075,1
0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.0,-5.829321237041998,1
