0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0.0,-2.036376229122844,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,-2.03525895625617,1
1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.0,-2.03499126398222,1
1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0.0,-2.033953130605867,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0.0,-2.0339357900816246,1
1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0.0,-2.0338365017510123,1
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.033678266448862,1
1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,-2.0324624233107658,1
1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,-2.0321387232132953,1
1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0.0,-2.0315546282609853,1
0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.031481870097738,1
1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0.0,-2.031393385701284,1
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-2.031095912994265,1
1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0.0,-2.0310038588053563,1
1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0.0,-2.03094299890358,1
0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-2.030719346067447,1
1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0.0,-2.03052984118621,1
0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0.0,-2.0301759873287706,1
0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0.0,-2.0301135896775153,1
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.0,-2.0301061789409367,1
1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0.0,-2.0300350773845643,1
0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.0297778827574167,1
1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0.0,-2.0297713275676355,2
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,-2.0297326121745094,1
0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,-2.029515894671815,1
0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0.0,-2.0294859907862017,1
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0,-2.0292213891219646,2
0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0.0,-2.0291890073352725,1
1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0.0,-2.0291242835422905,2
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.0,-2.029072230141491,1
0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,-2.028939613060534,1
1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0.0,-2.028807245246618,1
1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0.0,-2.0287989349848883,1
0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-2.0284989441141015,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0.0,-2.0284440683615172,1
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0.0,-2.02841796436119,1
0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.0,-2.0283969593159994,1
0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0.0,-2.028177779082424,2
0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0.0,-2.028176224707542,1
0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0.0,-2.028174838086257,2
1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0.0,-2.0281356583720838,1
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,-2.02811796457996,1
0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.0,-2.0281020408219117,1
0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0.0,-2.0280925165483,1
0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0.0,-2.0280340160787507,1
1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0.0,-2.0277964629428507,1
0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0,-2.027769596712263,3
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0.0,-2.027486046146001,1
1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0.0,-2.027280187013959,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.0,-2.0272776249396567,1
0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0.0,-2.027269986746194,1
1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,-2.027211787420797,1
0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0.0,-2.0271920344275527,1
1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0.0,-2.027120418325623,1
1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.0,-2.026985923437895,2
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,-2.026701460263582,1
1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.0,-2.0266436339065432,1
1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,-2.02654660661434,1
1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0.0,-2.0265373582905934,1
1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.0,-2.0264388097242643,1
0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.0264358325431195,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0.0,-2.026389676163061,1
0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.0,-2.0262587988586596,1
1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.0,-2.025996739568675,1
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0.0,-2.0257871787831787,1
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0.0,-2.025726199798774,1
1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0.0,-2.025656422972922,1
0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0.0,-2.0256497302089267,1
1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,-2.025569543802124,1
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,-2.0254263917913065,1
0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0.0,-2.0252378909482367,1
0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0.0,-2.025098554019692,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.0,-2.0250484637210775,1
1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0625,-2.0250435952070713,1
1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,-2.0250435952070713,1
1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,-2.0249896403399985,1
1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0,-2.0248676409630626,2
