0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0.0625,-2.696545398850112,1
1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0.0,-2.695599057153282,1
1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0.0,-2.695503290258355,1
1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0.0,-2.694741297374296,1
1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0.0,-2.693905539500421,1
0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0,-2.693327000168375,1
1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0.0,-2.69303940612414,2
1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0.0,-2.6929951579570743,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-2.6928354506827366,1
1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0.0,-2.692721940361906,1
1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-2.6925440787423014,1
1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0.0,-2.6923586488073568,1
1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0,-2.6923188480141658,1
1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0.0,-2.692039856724216,1
1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.0,-2.691874492196256,1
1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0.0,-2.691866084097582,2
1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0.0,-2.691849427735693,1
1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0.0,-2.691767818342828,1
1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0.0,-2.6915941561627164,1
0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0.0,-2.691377756420065,1
