0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.4658453116893651,22
1,0,0,1,0,0,1,1,0.0,-0.46406792983026507,27
1,0,1,1,0,0,0,1,0.0,-0.46323401919715995,59
0,0,1,1,0,0,1,1,0.0,-0.46173736698881557,37
1,1,0,0,0,0,1,1,0.0,-0.4615986246096275,10
1,1,1,0,0,0,0,1,0.0,-0.46076471397652236,27
1,0,1,1,0,0,1,0,0.0,-0.4597029692219709,71
0,1,1,0,0,0,1,1,0.0,-0.4592680617681781,23
1,0,0,0,0,1,1,1,0.0,-0.4591529079777741,11
1,1,0,1,0,0,0,1,0.0,-0.45898733211742243,37
1,0,1,0,0,1,0,1,0.0,-0.4583189973446688,19
1,0,0,0,1,0,1,1,0.0,-0.4581434151420173,33
0,1,0,1,0,0,1,1,0.0,-0.45749067990907805,40
1,0,1,0,1,0,0,1,0.0,-0.457309504508912,44
1,1,1,0,0,0,1,0,0.125,-0.4572336640013334,1
1,1,1,0,0,0,1,0,0.0,-0.4572336640013334,30
0,0,1,0,0,1,1,1,0.0,-0.45682234513632447,15
0,1,1,1,0,0,0,1,0.0,-0.4566567692759728,59
1,0,0,1,0,1,0,1,0.0,-0.45654161548556876,27
0,0,1,0,1,0,1,1,0.0,-0.4558128523005678,41
0,0,1,0,1,0,1,1,0.125,-0.45581285230056773,1
1,0,0,1,1,0,0,1,0.0,-0.4555321226498121,45
1,1,0,1,0,0,1,0,0.0,-0.4554562821422334,34
0,0,0,1,0,1,1,1,0.0,-0.45504496327722443,15
1,0,1,0,0,1,1,0,0.0,-0.45478794736947986,29
1,1,1,1,0,0,0,0,0.0,-0.45462237150912815,81
0,0,1,1,0,1,0,1,0.0,-0.45421105264411915,17
1,1,0,0,0,1,0,1,0.0,-0.4540723102649313,9
0,0,0,1,1,0,1,1,0.0,-0.45403547044146775,73
1,0,1,0,1,0,1,0,0.0,-0.45377845453372306,41
0,0,1,1,1,0,0,1,0.0,-0.45320155980836246,56
0,1,1,1,0,0,1,0,0.0,-0.45312571930078377,40
1,1,0,0,1,0,0,1,0.0,-0.4530628174291745,30
1,0,0,1,0,1,1,0,0.0,-0.4530105655103797,36
