0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,1,0.0,-0.541958403091688,31
1,1,0,0,0,0,1,1,0.0,-0.5392507105638424,36
0,0,1,1,0,0,1,1,0.0,-0.5383397568180708,61
1,0,0,0,0,1,1,1,0.125,-0.5381906660143796,1
1,0,0,0,0,1,1,1,0.0,-0.5381906660143796,29
1,1,1,0,0,0,1,0,0.0,-0.5372930907460933,23
1,0,0,1,0,0,1,1,0.0,-0.5372365926996985,58
1,0,1,1,0,0,1,0,0.0,-0.5369144079658696,51
1,0,1,1,0,0,0,1,0.0,-0.5368032140215102,30
0,1,1,0,0,0,1,1,0.0,-0.5366123938597256,38
1,1,1,0,0,0,0,1,0.0,-0.5362904424205561,22
0,1,0,1,0,0,1,1,0.0,-0.536257895541103,81
1,0,1,0,0,1,1,0,0.0,-0.5352204740111124,23
0,0,0,1,0,1,1,1,0.0,-0.5344985912935689,107
1,1,0,1,0,0,1,0,0.0,-0.5344228123200401,58
1,0,1,0,0,1,0,1,0.0,-0.534306265267917,28
0,0,1,0,0,1,1,1,0.0,-0.5342423200253434,23
1,1,0,1,0,0,0,1,0.0,-0.5341659696202796,40
0,1,1,1,0,0,1,0,0.0,-0.533193670849658,77
1,0,0,1,0,1,1,0,0.0,-0.532960965171907,62
1,0,0,1,0,1,0,1,0.0,-0.5327925620544884,45
1,1,1,1,0,0,0,0,0.0,-0.5324391125657069,37
0,1,1,1,0,0,0,1,0.0,-0.5323422574668406,59
1,1,0,0,0,1,1,0,0.0,-0.5317820843613518,35
0,1,0,0,0,1,1,1,0.0,-0.531213664744445,26
1,1,0,0,0,1,0,1,0.0,-0.5307222268627556,42
0,0,1,1,0,1,1,0,0.0,-0.5304217944166056,65
1,0,1,1,0,1,0,0,0.0,-0.5300531328143974,32
0,0,1,1,0,1,0,1,0.0,-0.52965882061613,46
0,1,0,1,0,1,1,0,0.0,-0.5276092360177231,80
0,1,0,1,0,1,0,1,0.0,-0.5267006134618467,75
1,1,0,1,0,1,0,0,0.0,-0.526685191291252,76
1,1,1,0,0,1,0,0,0.0,-0.5263473625387443,35
0,1,1,0,0,1,1,0,0.0,-0.5255014327835613,27
0,1,1,0,0,1,0,1,0.0,-0.5238470046019081,24
0,1,1,1,0,1,0,0,0.0,-0.5212191442641392,56
0,0,1,0,1,0,1,1,0.0,-0.5166513109408132,13
1,0,1,0,1,0,0,1,0.0,-0.5142062478743246,9
0,1,0,0,1,0,1,1,0.0,-0.5140953708336454,14
1,0,0,0,1,0,1,1,0.0,-0.5131242466727187,8
1,0,1,0,1,0,1,0,0.0,-0.5128577105027025,9
0,0,0,0,1,1,1,1,0.0,-0.5120167085899134,12
0,1,1,0,1,0,0,1,0.0,-0.5116951126391767,16
1,1,0,0,1,0,0,1,0.0,-0.5110949246428937,5
0,1,1,0,1,0,1,0,0.0,-0.5110867947060126,12
0,0,1,1,1,0,0,1,0.0,-0.5110285137346191,13
0,0,0,1,1,0,1,1,0.0,-0.5109018824639898,26
1,1,0,0,1,0,1,0,0.0,-0.5098920360266725,19
0,0,1,1,1,0,1,0,0.0,-0.5095287414202773,34
1,1,1,0,1,0,0,0,0.0,-0.5094237161521336,12
1,0,0,0,1,1,0,1,0.0,-0.5094021590809049,15
1,0,0,0,0,0,1,1,0.0,-0.5087984650593047,11
0,0,1,0,1,1,0,1,0.0,-0.5086923177922685,7
0,1,0,1,1,0,0,1,0.0,-0.5085430217540663,25
0,0,1,0,0,0,1,1,0.0,-0.5081504081086464,9
1,0,0,0,1,1,1,0,0.0,-0.5081108308823419,16
0,0,1,0,1,1,1,0,0.0,-0.5079955602767625,15
1,0,1,0,0,0,0,1,0.0,-0.5076551426211396,3
1,0,1,0,0,0,1,0,0.0,-0.5075470446269523,13
0,1,0,1,1,0,1,0,0.0,-0.5071888981951254,62
1,0,1,0,1,1,0,0,0.0,-0.5067183784046263,10
1,0,0,1,1,0,0,1,0.0,-0.5066868449158473,10
1,0,1,1,1,0,0,0,0.0,-0.5066510715090069,16
0,0,0,1,1,1,0,1,0.0,-0.5061509964940061,28
0,0,0,1,0,0,1,1,0.0,-0.5060889054945146,27
0,1,1,1,1,0,0,0,0.0,-0.5057652083896098,30
0,1,0,0,0,0,1,1,0.0,-0.5055006191276203,25
0,1,0,0,1,1,0,1,0.0,-0.5052600318077849,14
0,1,0,0,1,1,1,0,0.0,-0.5047089230476798,22
0,0,0,1,1,1,1,0,0.0,-0.5047084333527234,50
1,0,0,1,1,0,1,0,0.0,-0.5045925019184483,14
1,1,0,0,0,0,1,0,0.0,-0.5044875212770641,13
1,1,0,0,0,0,0,1,0.0,-0.5044499705158506,10
0,0,1,1,0,0,0,1,0.0,-0.503990213125373,15
1,1,1,0,0,0,1,1,0.0,-0.5039083128192253,10
1,0,0,1,0,0,0,1,0.0,-0.5038236655253536,12
1,1,0,1,1,0,0,0,0.0,-0.5037558451595923,20
0,0,1,1,0,0,1,0,0.0,-0.5037308801884659,30
0,0,0,0,0,1,1,1,0.0,-0.5031216386157189,13
1,0,1,1,0,0,1,1,0.0,-0.5030332715465324,14
1,0,0,1,0,0,1,0,0.0,-0.5029697619053896,19
1,1,0,0,1,1,0,0,0.0,-0.5028763580512805,21
1,0,1,0,0,1,1,1,0.0,-0.5028571749472819,4
1,0,1,1,0,0,0,0,0.0,-0.5028030078561774,10
1,0,0,0,0,1,0,1,0.0,-0.5024568866856922,8
1,0,0,0,0,1,1,0,0.0,-0.5024059978645639,14
0,0,1,1,1,1,0,0,0.0,-0.5023606109440313,27
1,1,1,0,0,0,0,0,0.0,-0.5017938777627542,6
1,0,0,1,1,1,0,0,0.0,-0.5016612769989331,27
0,1,1,0,0,0,1,0,0.0,-0.5015071587376516,13
0,1,0,1,0,0,0,1,0.0,-0.501410872270962,40
0,1,0,1,0,0,1,0,0.0,-0.5012971880894559,36
1,1,0,1,0,0,1,1,0.0,-0.5008935067227454,22
0,1,1,0,0,0,0,1,0.0,-0.5008750372933809,9
1,0,0,1,0,1,1,1,0.0,-0.5004531384376498,12
0,1,1,1,0,0,1,1,0.0,-0.500006411087659,20
1,1,1,1,0,0,1,0,0.0,-0.4998651226035199,17
0,1,1,0,1,1,0,0,0.0,-0.4998342111738899,13
1,1,0,1,0,0,0,0,0.0,-0.49981393263290447,17
1,1,0,0,0,1,1,1,0.0,-0.49977061611956364,18
0,1,0,1,1,1,0,0,0.0,-0.49914442184156366,45
1,0,1,0,0,1,0,0,0.0,-0.49878822174707754,8
0,0,0,1,0,1,0,1,0.0,-0.49871852874273215,25
1,1,1,1,0,0,0,1,0.0,-0.49864318233943583,9
0,0,0,1,0,1,1,0,0.0,-0.4985164049788842,42
1,0,1,1,0,1,1,0,0.0,-0.49841218213290606,26
1,0,1,1,0,1,1,0,0.125,-0.49841218213290606,1
0,0,1,1,0,1,1,1,0.0,-0.49825601351764415,35
0,0,1,0,0,1,1,0,0.0,-0.49811560604023186,11
0,1,1,1,0,0,0,0,0.0,-0.4976481746441695,22
0,0,1,0,0,1,0,1,0.0,-0.49757192417830315,7
1,0,0,1,0,1,0,0,0.0,-0.49741904620407573,8
1,0,1,1,0,1,0,1,0.0,-0.49727868145116383,10
1,1,1,0,0,1,1,0,0.0,-0.4960942247308999,6
0,1,0,1,0,1,1,1,0.0,-0.49579528594080435,38
1,1,0,1,0,1,1,0,0.0,-0.4955417201872042,28
1,1,0,0,0,1,0,0,0.0,-0.4948523525198736,17
0,1,0,0,0,1,1,0,0.0,-0.4947351199372909,18
1,1,0,1,0,1,0,1,0.0,-0.4942625707500611,27
1,1,1,0,0,1,0,1,0.0,-0.49406926966798015,5
0,1,0,0,0,1,0,1,0.0,-0.49404578931996124,12
0,0,1,1,0,1,0,0,0.0,-0.4939432589304213,17
0,1,1,0,0,1,1,1,0.0,-0.49383201037706925,14
0,1,1,1,0,1,1,0,0.125,-0.4910122896784441,1
0,1,1,1,0,1,1,0,0.0,-0.4910122896784441,26
1,1,1,1,0,1,0,0,0.0,-0.4908169421245733,17
0,1,0,1,0,1,0,0,0.0,-0.49063322095409545,23
0,1,1,1,0,1,0,1,0.0,-0.489138569558244,30
0,1,1,0,0,1,0,0,0.0,-0.4876350844237302,8
0,0,0,0,1,0,1,1,0.0,-0.4832741914949746,10
0,0,1,0,1,0,0,1,0.0,-0.4826908790056272,6
0,0,1,0,1,0,1,0,0.0,-0.48097181475273854,6
1,0,0,0,1,0,0,1,0.0,-0.4801004312558858,6
1,0,1,0,1,0,1,1,0.0,-0.4800471936418349,1
0,1,0,0,1,0,0,1,0.0,-0.4796374593210159,6
0,1,1,0,1,0,1,1,0.0,-0.4789701545024836,2
0,1,0,0,1,0,1,0,0.0,-0.47806404382352813,7
0,0,0,1,1,0,0,1,0.0,-0.4778317838250073,8
1,0,0,0,1,0,1,0,0.0,-0.47778679631994,2
1,1,0,0,1,0,1,1,0.0,-0.4774333499878476,6
0,0,1,1,1,0,1,1,0.0,-0.47691574272427895,7
0,0,1,0,1,1,1,1,0.0,-0.476900398936271,5
1,1,1,0,1,0,0,1,0.0,-0.4766984054843323,2
1,0,0,0,1,1,1,1,0.0,-0.4766736237065543,6
0,0,0,0,1,1,0,1,0.0,-0.4766257577965884,4
1,1,1,0,1,0,1,0,0.0,-0.4764606144324346,5
0,1,1,0,1,0,0,0,0.0,-0.47593041025803584,6
0,0,1,1,1,0,0,0,0.0,-0.4757601698459474,7
1,1,0,0,1,0,0,0,0.0,-0.4756722680970487,4
0,0,0,1,1,0,1,0,0.0,-0.47536691394634184,17
1,0,1,0,1,1,0,1,0.0,-0.47501454659986275,5
0,0,0,0,1,1,1,0,0.0,-0.47496390271675887,8
0,1,0,1,1,0,1,1,0.0,-0.47492773032116975,18
1,0,1,0,1,1,1,0,0.0,-0.4746883159656231,10
0,1,0,0,1,1,1,1,0.0,-0.47396559252923076,8
0,0,0,1,1,1,1,1,0.0,-0.4734687443418052,15
1,0,1,1,1,0,0,1,0.0,-0.47342940234873676,4
0,1,1,1,1,0,0,1,0.0,-0.4732374158866779,8
0,1,1,1,1,0,0,1,0.125,-0.4732374158866779,1
1,0,0,0,1,1,0,0,0.0,-0.47295802367202233,2
0,1,0,1,1,0,0,0,0.0,-0.47292284704335213,20
0,1,1,1,1,0,1,0,0.0,-0.47284838989206046,10
1,0,1,1,1,0,1,0,0.0,-0.4723001569156614,5
0,0,1,0,1,1,0,0,0.0,-0.47190613654809005,5
1,0,0,1,1,0,0,0,0.0,-0.47176054686247126,6
1,0,0,1,1,0,1,1,0.0,-0.471637457387154,7
1,1,0,0,1,1,0,1,0.0,-0.47152435706855944,8
1,1,0,0,1,1,1,0,0.0,-0.4713437751897208,4
1,1,0,1,1,0,0,1,0.0,-0.4708860068213643,9
0,0,1,1,1,1,0,1,0.0,-0.47085429730413675,10
0,0,1,1,1,1,1,0,0.0,-0.4703768317271777,15
1,1,1,1,1,0,0,0,0.0,-0.47014403402912763,12
1,1,0,1,1,0,1,0,0.0,-0.46990241014368994,12
1,0,0,1,1,1,0,1,0.0,-0.46981291752374266,1
0,0,0,1,1,1,0,0,0.0,-0.4695093429202543,10
0,1,1,0,1,1,1,0,0.0,-0.4692382448306832,6
0,1,1,0,1,1,0,1,0.0,-0.4688242560264648,6
1,0,0,1,1,1,1,0,0.0,-0.4687408812637265,5
1,1,1,0,1,1,0,0,0.0,-0.4681343770068842,6
0,1,0,0,1,1,0,0,0.0,-0.46812201974156387,8
1,0,1,1,1,1,0,0,0.0,-0.4680583725459877,8
0,1,0,1,1,1,0,1,0.0,-0.4679899390237119,9
0,1,0,1,1,1,1,0,0.0,-0.46765812220215364,19
1,1,0,1,1,1,0,0,0.0,-0.46478427989670046,10
0,1,1,1,1,1,0,0,0.0,-0.46349335408834025,11
1,0,0,0,0,0,0,1,0.0,-0.4073123349394337,2
0,0,0,1,0,0,0,1,0.0,-0.404556492152494,1
0,0,0,1,0,0,1,0,0.0,-0.40333206165126334,3
0,1,0,0,0,0,1,0,0.0,-0.4022474167919,1
1,1,0,0,0,0,0,0,0.0,-0.40180543864440244,1
0,0,1,1,0,0,0,0,0.0,-0.40149999391109803,1
0,0,0,0,0,1,0,1,0.0,-0.3992683731193559,2
0,0,0,0,0,1,1,0,0.0,-0.3988469574169611,2
1,0,0,0,0,1,0,0,0.0,-0.39879087595120644,1
0,1,0,1,0,0,0,0,0.0,-0.39856882223464457,3
1,1,1,1,0,0,1,1,0.0,-0.3981878497925788,1
1,1,0,1,0,1,1,1,0.0,-0.395237757061343,1
0,0,0,1,0,1,0,0,0.0,-0.39485499984337724,2
0,1,1,1,0,1,1,1,0.0,-0.3910503723878791,1
1,1,1,1,0,1,0,1,0.0,-0.3902463543697361,1
0,1,0,0,0,1,0,0,0.0,-0.3896859019281371,2
0,0,1,0,1,0,0,0,0.0,-0.37913004023288244,1
1,0,1,0,1,1,1,1,0.0,-0.3751031415761892,1
0,0,0,1,1,0,0,0,0.0,-0.3744154727226892,1
0,0,0,0,1,1,0,0,0.0,-0.37169160933876366,1
1,1,1,1,1,0,0,1,0.0,-0.3691262284772532,1
1,0,1,1,1,1,0,1,0.0,-0.36806204585715085,1
1,0,1,1,1,1,1,0,0.0,-0.3679551071614582,2
1,1,0,1,1,1,1,0,0.0,-0.36517849408961456,1
0,1,1,1,1,1,1,0,0.0,-0.36482418479960743,1
0,1,1,1,1,1,0,1,0.0,-0.36419090405684207,1
1,1,0,1,1,1,1,1,0.0,-0.19765265563815015,1
